epoch,success_count,reset_count,success_rate,reward,collsion,outtime,first_success,angle_error
1980,0,3,0.0,-203867.18173256988,7,3,0,0.6663315959318866
3960,0,4,0.0,-136814.51696182083,7,7,0,0.6663315959318866
5940,0,4,0.0,-173312.48303958366,78,11,0,0.34920702956194316
7920,0,4,0.0,-170903.6974416332,83,15,0,0.9513394592375903
9900,0,4,0.0,-128763.35402827291,241,19,0,0.8269094001832428
11880,0,4,0.0,-128649.63594969525,250,23,0,0.8269094001832428
13860,0,4,0.0,-131623.29734761827,250,27,0,0.8269094001832428
15840,0,4,0.0,-121004.368383836,254,31,0,0.6746153074165887
17820,0,4,0.0,-106973.1987349703,266,35,0,0.5970464268834228
19800,0,4,0.0,-181590.24858354498,425,39,0,0.6260686261799838
21780,0,4,0.0,-166777.6796079229,1589,43,0,0.5749008580963479
23760,0,4,0.0,-131371.3613580279,2101,47,0,0.538899662188644
25740,0,4,0.0,-105879.38701707427,2105,51,0,0.5034798052806473
27720,0,4,0.0,-134025.49025498983,2124,55,0,0.5185129287888093
29700,0,4,0.0,-98026.53856292297,2131,59,0,0.5038399297175669
31680,0,4,0.0,-103107.92772081587,2131,63,0,0.5038399297175669
33660,0,4,0.0,-109363.94402172696,2140,67,0,0.4853757400728532
35640,0,4,0.0,-62252.19051556988,2148,71,0,0.46903909186288617
37620,0,4,0.0,-103756.27101204451,2397,75,0,0.49145657745411625
39600,0,4,0.0,-91557.93188383197,2523,79,0,0.5608530513157227
41580,0,4,0.0,-117725.845931808,2793,82,0,0.5317310712543787
43560,0,4,0.0,-129720.61036219634,3028,86,0,0.5137166438091569
45540,0,4,0.0,-129082.63703117426,3030,90,0,0.5003061618589189
47520,0,4,0.0,-149363.20942977583,3041,94,0,0.5274470631906999
49500,0,4,0.0,-96054.47783543635,3145,98,0,0.5195305708778637
51480,0,4,0.0,-115871.92484881356,3153,102,0,0.5195305708778637
53460,0,3,0.0,-95976.38794022938,3153,105,0,0.5195305708778637
55440,0,4,0.0,-93149.03210769407,3153,109,0,0.5195305708778637
57420,0,4,0.0,-80954.7949139364,3195,113,0,0.5078441928858947
59400,0,4,0.0,-93795.91162932152,3425,117,0,0.48919355303879447
61380,0,4,0.0,-75183.15343181323,3428,121,0,0.4762437470592683
63360,0,5,0.0,-79190.91243897704,3454,125,0,0.44918476479083336
65340,0,5,0.0,-138531.0265473863,3490,129,0,0.42767365976932575
67320,0,4,0.0,-56562.37451356929,3492,133,0,0.42219597101939355
69300,0,4,0.0,-63174.498087626416,3507,137,0,0.4066948497126642
71280,0,4,0.0,-52681.84955933457,3536,141,0,0.3961421656976224
73260,0,4,0.0,-78015.95056500286,3628,144,0,0.3864508339896465
75240,0,5,0.0,-73850.20736401528,3755,148,0,0.37074769808933206
