epoch,success_count,reset_count,success_rate,reward,collsion,outtime,first_success,angle_error
1980,0,3,0.0,-185789.39935454843,17,3,0,0.0833307314578819
3960,0,4,0.0,-101451.53453558276,17,7,0,0.0833307314578819
5940,0,4,0.0,-45604.41487813939,34,11,0,0.05811410095044602
7920,0,4,0.0,-47470.68999092869,53,15,0,0.10439535705370784
9900,0,4,0.0,-79136.88814393751,266,19,0,0.1065958932435124
11880,0,4,0.0,-44631.712518632994,326,23,0,0.1301001616084947
13860,0,4,0.0,-46400.55729478062,333,27,0,0.13663563322623348
15840,0,4,0.0,-39521.9469534792,347,31,0,0.16131644675263704
17820,0,4,0.0,-43166.75783681497,377,35,0,0.17594924435778697
19800,2,6,0.3333333333333333,-30255.976495563984,386,39,18106,0.1657360714078178
21780,0,4,0.0,-62208.7680585027,402,43,18106,0.1664449868734618
23760,1,5,0.2,-38186.73149731208,415,47,18106,0.16290838795535517
25740,0,4,0.0,-47196.98240425764,491,51,18106,0.15793109884561835
27720,2,4,0.5,-32588.9229268654,497,53,18106,0.15223992352617466
29700,0,4,0.0,-42165.43048808479,501,57,18106,0.14880449134386672
31680,0,4,0.0,-48059.50618427654,502,61,18106,0.14818923049005603
33660,5,9,0.5555555555555556,-11531.612041187007,514,65,18106,0.1426928922950974
35640,3,6,0.5,-20641.99504385225,519,68,18106,0.14660117264439182
37620,0,4,0.0,-45452.924332257244,520,72,18106,0.14731741874288803
39600,9,13,0.6923076923076923,771.6727674736176,547,76,18106,0.13912325047363586
41580,5,8,0.625,-19979.030814798432,579,79,18106,0.13522953107939256
43560,5,8,0.625,-17277.521218795562,603,82,18106,0.131872825627709
45540,3,6,0.5,-24455.86721600534,651,85,18106,0.13698607766083756
47520,6,8,0.75,-14209.944650237914,695,87,18106,0.14943395628670203
49500,4,7,0.5714285714285714,-21654.517722333083,702,89,18106,0.15794244670086935
51480,4,8,0.5,-21028.610172829358,709,93,18106,0.16442350761360847
53460,14,16,0.875,23107.21710587386,753,95,18106,0.16408073136699475
55440,9,12,0.75,1084.891696561128,768,98,18106,0.16392056392357682
57420,7,9,0.7777777777777778,-11340.645031769061,802,100,18106,0.1627829863261196
59400,10,13,0.7692307692307693,7134.341916981619,837,103,18106,0.15982721573496989
61380,4,7,0.5714285714285714,-25082.67847637809,844,106,18106,0.15790144538742854
63360,10,14,0.7142857142857143,4826.509162649047,887,110,18106,0.1498070897223603
65340,66,66,1.0,238406.32127046434,1048,110,18106,0.1246646930598448
67320,36,39,0.9230769230769231,74875.32486575982,1389,112,18106,0.11856433365650022
69300,38,40,0.95,116295.02789671242,1505,113,18106,0.11149053038332744
71280,43,43,1.0,147073.5485056981,1562,114,18106,0.10465724100090118
73260,15,19,0.7894736842105263,-158569.42202343023,1594,117,18106,0.10211425237653572
75240,0,4,0.0,-54974.65105533565,1600,121,18106,0.10497509166621256
77220,19,19,1.0,21526.028642910416,1799,121,18106,0.10572576997708305
79200,35,38,0.9210526315789473,101521.0945243279,1983,123,18106,0.09999188666623492
81180,49,54,0.9074074074074074,161641.66890695447,2098,125,18106,0.09557330632990317
83160,34,37,0.918918918918919,105868.80264476099,2203,127,18106,0.09259313063598486
85140,50,51,0.9803921568627451,145868.97257039748,2614,128,18106,0.08770760780876835
87120,25,27,0.9259259259259259,66117.81413881926,2674,130,18106,0.0857519913850265
89100,33,36,0.9166666666666666,96764.35746608682,2809,131,18106,0.0847193669482421
91080,14,19,0.7368421052631579,3717.7552636980763,2897,133,18106,0.08398879461090662
93060,34,35,0.9714285714285714,103365.31658540826,3005,134,18106,0.08223464953432186
95040,84,88,0.9545454545454546,288710.9073634204,3291,134,18106,0.08114715361357937
97020,32,34,0.9411764705882353,70177.09906588832,3498,136,18106,0.08125531003235145
99000,59,66,0.8939393939393939,195552.82988909638,3770,137,18106,0.08124491720429661
100980,60,66,0.9090909090909091,155446.96629027312,4431,139,18106,0.08065516702602815
102960,43,49,0.8775510204081632,119645.70173186308,4773,141,18106,0.07994787271781567
104940,60,69,0.8695652173913043,227468.5504274969,4907,141,18106,0.0784525080140783
106920,44,49,0.8979591836734694,131715.99412248912,5066,143,18106,0.07786540301667283
108900,64,68,0.9411764705882353,234280.9257880242,5209,144,18106,0.07680229289249102
110880,58,63,0.9206349206349206,191434.4604012745,5449,145,18106,0.07570549329158727
112860,80,83,0.963855421686747,262969.8330212373,5809,146,18106,0.07367157812009736
114840,24,28,0.8571428571428571,-19404.27307974687,6787,148,18106,0.07334809849644809
116820,29,32,0.90625,58131.839786315104,7058,150,18106,0.07298400972566176
118800,46,48,0.9583333333333334,119914.36032977817,7514,152,18106,0.07228123246681549
120780,48,52,0.9230769230769231,141023.18333549425,7818,155,18106,0.07127708480115025
122760,58,61,0.9508196721311475,151853.64212295366,8502,156,18106,0.07075237954412367
124740,18,21,0.8571428571428571,-10399.27550307056,8556,158,18106,0.070630584469695
126720,58,60,0.9666666666666667,184097.23885743925,8850,159,18106,0.0700600052682034
128700,119,120,0.9916666666666667,470891.4801155436,8994,159,18106,0.06882274068881113
130680,86,89,0.9662921348314607,305957.77327942895,9259,159,18106,0.06805749887442654
132660,118,120,0.9833333333333333,452434.867256308,9552,159,18106,0.06703124113013965
134640,91,93,0.978494623655914,330612.9393099719,9742,159,18106,0.06612251424071691
136620,96,98,0.9795918367346939,330204.8894255096,10180,160,18106,0.06524399981330242
138600,60,65,0.9230769230769231,158292.5136979241,10867,161,18106,0.06488960774857869
140580,121,125,0.968,465927.2081683688,11055,162,18106,0.06470038209484325
142560,63,65,0.9692307692307692,211857.84598953277,11369,164,18106,0.06460171530468357
144540,75,78,0.9615384615384616,245046.49748723023,11800,164,18106,0.0645898906151992
146520,69,73,0.9452054794520548,197255.12759871967,11948,165,18106,0.06440614281854593
148500,116,121,0.9586776859504132,463327.69295272697,12075,165,18106,0.06417435141820985
150480,108,111,0.972972972972973,415154.310732672,12355,165,18106,0.06403992423293758
152460,100,102,0.9803921568627451,365831.30580938235,12728,165,18106,0.0637821515969088
154440,124,124,1.0,489118.80499680433,12880,165,18106,0.06369959548279254
156420,29,32,0.90625,-70168.51137159672,13573,168,18106,0.06370177802059235
158400,2,5,0.4,-171295.83221775573,13578,171,18106,0.06370555865616
160380,27,31,0.8709677419354839,-30536.975345612504,13620,175,18106,0.06358693736555626
162360,81,81,1.0,243567.2835952714,14306,175,18106,0.06315927169930931
164340,129,131,0.9847328244274809,513926.25946989283,14480,176,18106,0.06256754757359898
166320,101,101,1.0,363004.3858585218,14864,177,18106,0.062132692238074896
168300,103,105,0.9809523809523809,393924.5209822962,15248,177,18106,0.06173633608575839
170280,127,127,1.0,506618.5241348129,15384,177,18106,0.06126908563886135
172260,127,127,1.0,511786.65422295965,15546,177,18106,0.060797369316568484
174240,122,122,1.0,483845.9532245323,15748,177,18106,0.06055707076951122
176220,99,100,0.99,366978.0099249575,16003,178,18106,0.06029749992445804
178200,46,48,0.9583333333333334,110745.08548390493,16583,180,18106,0.06022477895304272
180180,26,29,0.896551724137931,-100489.89839137904,16946,183,18106,0.06032587046504755
182160,0,4,0.0,-171835.84338973835,17003,187,18106,0.06046757507252547
