epoch,success_count,reset_count,success_rate,reward,collsion,outtime,first_success,angle_error
1980,0,3,0.0,-150774.13217097067,113,3,0,0.34582280000830645
3960,0,4,0.0,-56095.56351744261,144,7,0,0.21001425072017238
5940,0,4,0.0,-77777.9081364316,150,11,0,0.19717905799235805
7920,0,4,0.0,-54148.47847772704,257,15,0,0.18627200983804748
9900,1,4,0.25,-55746.19602371659,433,18,8987,0.17829958197320633
11880,0,4,0.0,-43495.92679622618,465,22,8987,0.17937256756268766
13860,1,5,0.2,-35953.54316131724,487,26,8987,0.16089612298323916
15840,0,4,0.0,-56452.611913917644,624,30,8987,0.15803408185056395
17820,0,4,0.0,-40143.913591395016,624,34,8987,0.14929625757880008
19800,1,5,0.2,-39462.44170574902,689,38,8987,0.14942389058343053
21780,0,4,0.0,-38741.38223993871,698,42,8987,0.1442762027890342
23760,1,4,0.25,-48552.56146313937,810,45,8987,0.1372560901027819
25740,1,5,0.2,-32451.50818057859,898,49,8987,0.12777107134453305
27720,3,6,0.5,-30884.86262222554,906,52,8987,0.12435078044497713
29700,4,7,0.5714285714285714,-16624.35065511451,915,55,8987,0.12623337848434305
31680,7,8,0.875,-8379.763406947255,953,56,8987,0.12292879217243359
33660,1,6,0.16666666666666666,-50978.560637706425,1143,59,8987,0.12696500900565333
35640,0,4,0.0,-154911.382834784,1221,63,8987,0.12677147068871206
37620,0,4,0.0,-55977.46887105191,1320,67,8987,0.13357905728565672
39600,2,7,0.2857142857142857,-39639.53801880637,1498,71,8987,0.14250870303458724
41580,2,6,0.3333333333333333,-50360.62958049611,1868,74,8987,0.17126780372128608
43560,1,5,0.2,-53356.85329726548,1996,78,8987,0.17360166396587823
45540,1,4,0.25,-32919.14254183252,1998,81,8987,0.17265105284474402
47520,2,5,0.4,-30572.269738345174,2011,84,8987,0.17332998682317938
49500,3,8,0.375,-47475.24493749859,2273,86,8987,0.17015067885271923
51480,7,10,0.7,-21998.761147595476,2397,89,8987,0.16738566984139844
53460,10,12,0.8333333333333334,-2623.220995081356,2438,91,8987,0.17670207734098167
55440,7,9,0.7777777777777778,-22234.721492182696,2652,92,8987,0.20891406016486472
57420,3,6,0.5,-35558.322553351754,2727,95,8987,0.21538323324562003
59400,6,8,0.75,-17631.306216761004,2862,97,8987,0.2145054078062761
61380,2,5,0.4,-42267.89351997315,3196,100,8987,0.21666690548363615
63360,5,9,0.5555555555555556,-27292.819218458375,3594,104,8987,0.20962625963029752
65340,16,18,0.8888888888888888,-2594.8659671647474,4144,106,8987,0.2055676842925748
67320,8,12,0.6666666666666666,-15031.118657741928,4252,110,8987,0.21061673036514295
69300,12,13,0.9230769230769231,5638.479812941048,4303,111,8987,0.2151805498563397
71280,13,17,0.7647058823529411,-9658.482260416262,4699,113,8987,0.2124740910088809
73260,16,19,0.8421052631578947,17758.2308106923,4993,114,8987,0.2139546031933112
75240,9,14,0.6428571428571429,-2102.473739086883,5128,118,8987,0.21481660147555118
77220,5,8,0.625,-23545.369112915825,5388,121,8987,0.2155239651714701
79200,15,19,0.7894736842105263,14599.141074443702,5446,123,8987,0.21508725811980836
81180,17,20,0.85,-1821.763987342827,5703,126,8987,0.2153095803048792
83160,32,35,0.9142857142857143,86987.63497718447,5850,128,8987,0.21149586151410374
85140,7,10,0.7,-60363.726229032036,6368,131,8987,0.20940918068928496
87120,16,18,0.8888888888888888,22268.149228293216,6595,133,8987,0.20517728399031684
89100,21,25,0.84,43934.265064634616,6686,135,8987,0.20185337719259328
91080,36,38,0.9473684210526315,102602.64673374756,6871,136,8987,0.201054853060523
93060,16,18,0.8888888888888888,6601.551744080847,6988,138,8987,0.19832253989869864
95040,10,14,0.7142857142857143,-18042.890364621766,7153,141,8987,0.19618284917330372
97020,16,18,0.8888888888888888,-3349.491520027397,7349,143,8987,0.194719082479952
99000,3,6,0.5,-43495.19574697595,7471,146,8987,0.19599325971866502
100980,4,7,0.5714285714285714,-44694.238214963814,7959,149,8987,0.200591239862641
102960,8,11,0.7272727272727273,-47465.546982152155,8478,151,8987,0.2042422695598359
104940,27,29,0.9310344827586207,33809.88346941699,9117,152,8987,0.2099845911353061
