epoch,success_count,reset_count,success_rate,reward,collsion,outtime,first_success,angle_error
1980,0,3,0.0,-191023.1383937144,32,3,0,0.120249655800475
3960,0,4,0.0,-105568.95819476372,48,7,0,0.120249655800475
5940,0,4,0.0,-136423.78857224167,257,11,0,0.9336681500837164
7920,0,4,0.0,-102174.99106758443,260,15,0,0.9336681500837164
9900,0,4,0.0,-72696.6973028204,267,19,0,0.987630430302414
11880,0,4,0.0,-70077.79785555601,362,23,0,1.0021427080126426
13860,0,4,0.0,-82286.36596525577,587,27,0,1.2559270737499268
15840,0,4,0.0,-112940.2830057299,1027,31,0,1.19987590908045
17820,0,4,0.0,-104293.53842718713,1073,35,0,1.0894635439685345
19800,0,4,0.0,-80876.72210180713,1343,39,0,1.095812398500661
21780,0,4,0.0,-87709.63676051889,1349,43,0,1.095812398500661
23760,0,4,0.0,-117774.89873306127,1387,47,0,1.096922325418925
25740,0,4,0.0,-97457.26601141202,1778,51,0,1.0260464016636341
27720,0,4,0.0,-83946.51884733001,1971,55,0,1.0584822417870698
29700,0,4,0.0,-69450.03457914246,2159,59,0,1.0821027812631039
31680,0,4,0.0,-83880.34258724027,2328,63,0,1.0600749205977842
33660,0,4,0.0,-84019.21355619328,2866,67,0,1.0619803745475727
35640,0,4,0.0,-68516.49412483652,3195,71,0,1.035459882532651
37620,0,4,0.0,-63787.516515909694,3225,75,0,1.0113741079654124
39600,0,4,0.0,-114284.86562897265,3527,79,0,1.008214633987353
41580,1,4,0.25,-91149.68162638182,3615,82,40222,0.9107455335539866
43560,0,4,0.0,-76704.59393925196,3656,86,40222,0.9178068060735594
45540,0,4,0.0,-164795.37930757902,4284,90,40222,0.9036295665460724
47520,0,4,0.0,-160118.52016680548,4466,94,40222,0.9086292638334041
49500,0,4,0.0,-88867.66287438804,4466,98,40222,0.9086292638334041
51480,0,4,0.0,-72143.88246080978,4466,102,40222,0.9086292638334041
53460,0,4,0.0,-69672.60313355783,4466,106,40222,0.9086292638334041
55440,0,4,0.0,-70897.09989142325,4506,110,40222,0.9085688523674257
57420,0,4,0.0,-107453.90854684776,5128,114,40222,0.8734931739461841
59400,0,4,0.0,-77287.36356377415,5169,118,40222,0.8806401018562037
61380,0,4,0.0,-57543.68216872541,5188,122,40222,0.8603050159633643
63360,0,5,0.0,-84803.72563321609,5303,126,40222,0.8329243908626827
65340,0,4,0.0,-68172.2838300895,5335,130,40222,0.8259525434126237
67320,0,4,0.0,-168007.0414465163,6156,133,40222,0.8238646450237386
69300,0,4,0.0,-147339.31121728336,6927,137,40222,0.8120972925970857
71280,0,4,0.0,-85894.265862728,6947,141,40222,0.806543552305659
73260,0,4,0.0,-81156.0258529489,7093,145,40222,0.7945391908229352
75240,0,4,0.0,-66692.39639141131,7152,148,40222,0.7918940428569156
77220,0,4,0.0,-65181.54313425673,7477,152,40222,0.7704910928621452
79200,1,4,0.25,-69812.4386497587,7762,155,40222,0.762187772328531
81180,0,4,0.0,-64408.07188387774,7772,159,40222,0.7527874906274706
83160,0,4,0.0,-64984.26556697395,7794,163,40222,0.7369213770655079
85140,1,5,0.2,-74591.08491967525,7868,167,40222,0.7264560041610368
87120,2,5,0.4,-52399.473233859055,7908,170,40222,0.7199462928323412
89100,1,6,0.16666666666666666,-70172.58425806416,7992,174,40222,0.6904743349717625
91080,0,4,0.0,-59790.32059538318,8013,178,40222,0.6721103160843075
93060,5,8,0.625,-65280.11420629034,8423,180,40222,0.6443080917695441
95040,3,6,0.5,-89513.4680313291,8984,183,40222,0.619817338668292
97020,1,4,0.25,-55975.6976123061,9122,186,40222,0.6068208863799125
99000,1,5,0.2,-53826.075169824995,9195,190,40222,0.586698100659756
100980,2,6,0.3333333333333333,-64916.62607884873,9259,194,40222,0.5653063129777387
102960,5,9,0.5555555555555556,-80736.6318118386,9731,197,40222,0.538859799365573
104940,14,18,0.7777777777777778,-20600.089210638776,10101,198,40222,0.498826305963935
106920,8,13,0.6153846153846154,-14380.004905633628,10165,202,40222,0.4766135363188405
108900,17,19,0.8947368421052632,-10931.564705481753,10625,204,40222,0.4596152311831401
110880,6,9,0.6666666666666666,-69315.45458331332,11293,206,40222,0.45835686849794455
112860,10,16,0.625,-47024.62736303825,11683,209,40222,0.44999086476192607
114840,17,21,0.8095238095238095,-1403.0907462490723,12006,212,40222,0.4378112414406402
116820,8,11,0.7272727272727273,-36790.87018538825,12503,215,40222,0.43250166477942015
118800,10,13,0.7692307692307693,-30243.25982621219,12728,216,40222,0.42472793241719353
120780,17,20,0.85,-24324.55506062042,13081,218,40222,0.40931348554468266
122760,21,24,0.875,3435.7193670067936,13578,219,40222,0.3949865123985423
124740,16,22,0.7272727272727273,-5973.11138606444,13914,219,40222,0.3864256760094796
126720,6,11,0.5454545454545454,-55076.44260429032,14197,222,40222,0.3847669660472679
128700,6,12,0.5,-83285.91724082269,14340,226,40222,0.381802404390415
130680,27,30,0.9,36765.25756603014,14595,228,40222,0.3731388596966868
132660,25,32,0.78125,-22748.825031173415,15645,230,40222,0.3689675674103817
134640,0,4,0.0,-192141.2309758542,15683,234,40222,0.36793856512611567
136620,0,4,0.0,-104900.49551256839,15786,238,40222,0.36715855871061137
138600,0,4,0.0,-133814.32663453277,16467,242,40222,0.36578140261194436
140580,0,4,0.0,-143428.8717402937,16529,246,40222,0.3651819130617835
142560,0,4,0.0,-99036.96963070799,16541,250,40222,0.36407795157613027
144540,0,3,0.0,-85423.08184694313,16561,253,40222,0.3630719206887183
146520,4,8,0.5,-57288.35705569852,16610,257,40222,0.36129597304247096
148500,24,26,0.9230769230769231,18097.163917246275,17199,257,40222,0.3557455052139561
150480,29,31,0.9354838709677419,51563.966800681315,17544,259,40222,0.3522031057329189
152460,23,26,0.8846153846153846,-32538.664371756837,18365,259,40222,0.3498847365577866
154440,30,32,0.9375,-9793.639312541112,19160,262,40222,0.3444609626338555
156420,28,31,0.9032258064516129,7921.103287195787,19375,263,40222,0.34118045397131674
158400,36,40,0.9,37773.03426355403,20464,266,40222,0.33578169026781335
160380,30,33,0.9090909090909091,16890.64834451303,21110,268,40222,0.32966454276933993
162360,39,43,0.9069767441860465,44082.121016330086,22220,269,40222,0.3248444200836347
164340,29,33,0.8787878787878788,28046.73714544438,23191,271,40222,0.3192064388571547
166320,22,24,0.9166666666666666,14041.485651619732,23823,273,40222,0.3171684036360701
168300,31,34,0.9117647058823529,52163.7266621124,24293,276,40222,0.31245584879768296
170280,50,55,0.9090909090909091,130000.5356828617,24843,277,40222,0.3067191302198126
172260,30,35,0.8571428571428571,20481.016712847166,25615,279,40222,0.30384146348180724
174240,49,54,0.9074074074074074,120056.84923574142,26304,281,40222,0.29861270968655157
176220,48,51,0.9411764705882353,104512.52997455653,26894,282,40222,0.294554705086292
178200,25,28,0.8928571428571429,27599.21450347826,27196,284,40222,0.2938333724475186
180180,18,22,0.8181818181818182,-81452.61902452912,28797,286,40222,0.2934874768173982
182160,3,7,0.42857142857142855,-65946.68827720266,29367,290,40222,0.29342673698065225
184140,18,21,0.8571428571428571,11828.774491145276,29554,292,40222,0.2922205457874725
186120,14,18,0.7777777777777778,-55826.088743939064,30330,294,40222,0.2914398367366877
188100,11,15,0.7333333333333333,-59303.22185286321,30951,298,40222,0.2906528097624667
190080,51,55,0.9272727272727272,151730.04420855548,31358,299,40222,0.2875808434088076
192060,23,27,0.8518518518518519,-13181.435190243647,32010,301,40222,0.28658402493710106
194040,51,53,0.9622641509433962,136060.87993613165,32489,302,40222,0.2847726810546149
196020,57,62,0.9193548387096774,163984.42884365097,32901,303,40222,0.28194361597026507
198000,52,54,0.9629629629629629,163238.26073085796,33099,305,40222,0.27973764104018206
199980,60,61,0.9836065573770492,190429.62710021436,33382,305,40222,0.2780888532044346
201960,20,23,0.8695652173913043,4211.381743599661,33723,307,40222,0.27756015272418777
203940,50,53,0.9433962264150944,123505.60080972128,34244,308,40222,0.27578057423666363
205920,49,50,0.98,131496.10521077737,34796,309,40222,0.2742184773933731
207900,41,43,0.9534883720930233,102561.50050214864,35279,311,40222,0.2725356073445947
209880,27,28,0.9642857142857143,-23360.123962058686,36268,312,40222,0.27191086824100047
211860,48,50,0.96,79584.19885569625,36996,314,40222,0.27114782025278195
213840,57,58,0.9827586206896551,148034.3837508685,37686,315,40222,0.2696908630218445
215820,61,61,1.0,178788.30146168778,38263,315,40222,0.26843120666161385
217800,41,44,0.9318181818181818,65876.96056281263,38827,317,40222,0.2672722898359298
219780,51,54,0.9444444444444444,132430.6113255378,39342,319,40222,0.26602572700926724
