epoch,success_count,reset_count,success_rate,reward,collsion,outtime,first_success,angle_error
1980,0,3,0.0,-338431.5356019065,51,3,0,0.8882837099484284
3960,0,4,0.0,-186103.92493841774,289,7,0,0.6855495062878297
5940,0,4,0.0,-132013.3983374628,390,11,0,0.5891615268796471
7920,0,4,0.0,-137192.70234958048,1401,15,0,0.6423187801874078
9900,0,4,0.0,-67404.19854958146,1935,19,0,0.7277285150498227
11880,0,4,0.0,-53126.28020065802,1937,23,0,0.7277285150498227
13860,0,4,0.0,-46075.33965083619,1938,27,0,0.658005811578312
15840,0,4,0.0,-66324.28119943861,1944,31,0,0.5238563093275063
17820,0,4,0.0,-89095.25614983577,2158,35,0,0.4682867853657469
19800,0,4,0.0,-120407.86479684361,2645,39,0,0.46758966175989464
21780,0,4,0.0,-134702.1389394221,2900,43,0,0.5398888927707506
23760,0,4,0.0,-119390.67408266221,3176,47,0,0.5342892233427613
25740,0,4,0.0,-63449.34858420142,3692,51,0,0.5161677021881056
27720,1,5,0.2,-77707.53950749803,3909,55,27657,0.48590101139390474
29700,0,4,0.0,-76169.16297445609,4523,59,27657,0.48494785356536635
31680,0,4,0.0,-71503.46746225771,4689,63,27657,0.4877321309731854
33660,0,3,0.0,-70696.8339383183,4790,66,27657,0.4933397237311863
35640,0,4,0.0,-57710.300997150596,4800,70,27657,0.4717225681255419
37620,0,4,0.0,-61136.912118084496,4805,74,27657,0.4680237091497328
39600,0,4,0.0,-50428.27902099816,4823,78,27657,0.4412808778620175
41580,1,5,0.2,-45757.59213323216,5018,82,27657,0.4023036479923156
43560,3,7,0.42857142857142855,-43486.64003133797,5875,85,27657,0.3662242807696701
45540,0,4,0.0,-42354.1506373263,5882,89,27657,0.35614632501198945
47520,2,4,0.5,-34640.693714905065,6153,91,27657,0.34107024021491195
49500,0,4,0.0,-43683.09977280116,6166,95,27657,0.3274281775688095
51480,1,5,0.2,-32096.415363125503,6224,99,27657,0.31306812426216135
53460,0,4,0.0,-55423.181485295296,6281,103,27657,0.3057262738909633
55440,0,4,0.0,-65924.44942257227,6287,107,27657,0.3126548797560249
57420,1,4,0.25,-48674.915481396485,6679,110,27657,0.2992094044229693
59400,0,4,0.0,-41915.06717354013,7085,114,27657,0.28894844611569426
61380,2,7,0.2857142857142857,-29551.10874896543,7280,118,27657,0.27016770355307057
63360,6,8,0.75,-14471.997413270641,7287,120,27657,0.2583399397645184
65340,0,4,0.0,-37356.582341096364,7290,124,27657,0.2554256496063099
67320,2,5,0.4,-43602.24214472389,7736,127,27657,0.253113494102569
69300,2,5,0.4,-45419.46912314603,8220,130,27657,0.2597883783597527
71280,0,5,0.0,-52244.63818288501,8394,134,27657,0.2600938162133371
73260,0,4,0.0,-57123.19578590663,8440,138,27657,0.2586366949665884
75240,0,4,0.0,-54379.32088247733,8492,142,27657,0.2572780673573526
77220,1,5,0.2,-77851.9259777898,9073,146,27657,0.259132912415618
79200,1,5,0.2,-32286.41805382911,9090,150,27657,0.2550220164934992
81180,0,5,0.0,-36731.51540368656,9094,154,27657,0.2537749476755576
83160,11,15,0.7333333333333333,14074.59347143583,9151,156,27657,0.24755319700934927
85140,14,16,0.875,14268.744561829604,9243,158,27657,0.2434621585160871
87120,19,23,0.8260869565217391,44866.340001361445,9397,160,27657,0.232493534733682
89100,35,39,0.8974358974358975,115720.90429029614,9629,160,27657,0.21490270839561723
91080,42,45,0.9333333333333333,155029.23451447487,9997,160,27657,0.20494765066444784
93060,71,73,0.9726027397260274,267832.9014829388,10149,160,27657,0.19702386751044504
95040,74,81,0.9135802469135802,289109.6588122542,10553,160,27657,0.18211418525170758
97020,36,41,0.8780487804878049,109015.75008340948,10925,161,27657,0.1740047533593864
99000,16,18,0.8888888888888888,-14487.30177434883,11612,162,27657,0.17089407741679447
100980,34,37,0.918918918918919,65528.739029881544,12251,162,27657,0.16731744902070184
102960,57,60,0.95,190735.17412102153,12562,162,27657,0.1612386100804517
104940,10,14,0.7142857142857143,-8031.242065262049,12716,165,27657,0.16101839910313268
106920,66,71,0.9295774647887324,240505.78552680113,12991,165,27657,0.1573406156286722
108900,47,53,0.8867924528301887,145675.72488703695,13296,166,27657,0.15536740197059531
110880,37,41,0.9024390243902439,87409.60161659471,13720,167,27657,0.15345497020445023
112860,19,22,0.8636363636363636,26402.83683327888,13811,168,27657,0.15273206017154517
114840,35,38,0.9210526315789473,101412.70888390951,14001,168,27657,0.15063476591714728
116820,66,71,0.9295774647887324,256640.2809131667,14304,168,27657,0.1457159225508675
118800,31,35,0.8857142857142857,99173.17097393516,14648,168,27657,0.14301066387878214
120780,48,49,0.9795918367346939,172867.44822959276,14863,169,27657,0.1390209720493601
122760,42,48,0.875,155937.24699108588,14974,170,27657,0.13597392569742509
124740,50,56,0.8928571428571429,178461.71880069125,15166,170,27657,0.1352994884957175
126720,75,80,0.9375,283635.2637180584,15572,170,27657,0.13173445635296227
128700,114,116,0.9827586206896551,468089.4857414456,15814,170,27657,0.12590598399687816
130680,96,100,0.96,386790.60750384483,16100,170,27657,0.12227182768822333
132660,104,111,0.9369369369369369,433876.07696227124,16343,170,27657,0.11822802172779032
134640,58,61,0.9508196721311475,157531.91012876295,17131,171,27657,0.11591461809568533
136620,94,99,0.9494949494949495,365832.46250477526,17487,171,27657,0.11269697699520762
138600,93,100,0.93,396564.6197514036,17722,171,27657,0.10985752178759911
140580,102,112,0.9107142857142857,437772.4745487049,17956,171,27657,0.1066455345201394
142560,75,79,0.9493670886075949,240420.4644674589,18574,171,27657,0.10500383043407252
144540,100,106,0.9433962264150944,415913.2631761618,18826,171,27657,0.10244639274501605
146520,119,123,0.967479674796748,509498.2290295628,19015,171,27657,0.10050724391805793
148500,112,114,0.9824561403508771,450370.61412155954,19386,171,27657,0.09866991527425283
150480,64,66,0.9696969696969697,223223.53181240708,19797,171,27657,0.09778916568422542
152460,90,93,0.967741935483871,343445.615871164,20103,171,27657,0.09661773838156791
154440,82,82,1.0,270510.092966252,20777,171,27657,0.09560134064533446
156420,122,124,0.9838709677419355,502027.2979622334,21029,171,27657,0.09428670863682989
158400,87,88,0.9886363636363636,332324.8405474331,21341,172,27657,0.09353591324656671
160380,67,69,0.9710144927536232,220123.56156162452,21824,173,27657,0.09322576561841313
162360,91,93,0.978494623655914,351275.30385837704,22111,174,27657,0.09275115563961261
164340,91,93,0.978494623655914,348546.8554622857,22251,175,27657,0.09239597955432184
166320,116,117,0.9914529914529915,485177.18986624107,22448,175,27657,0.09182452873608477
168300,127,129,0.9844961240310077,545367.878105484,22599,175,27657,0.09142830286509547
170280,89,91,0.978021978021978,323620.8221462043,23128,176,27657,0.09114261628229521
172260,82,86,0.9534883720930233,331897.6814429099,23292,177,27657,0.09094384974868414
174240,94,98,0.9591836734693877,402264.72199533135,23770,178,27657,0.09044718198086898
176220,57,60,0.95,172481.30135167763,24269,180,27657,0.09014610229055754
178200,96,98,0.9795918367346939,374591.5085592605,24624,181,27657,0.08961340806565977
180180,24,28,0.8571428571428571,22190.053681923077,25434,183,27657,0.08946244479384145
182160,54,55,0.9818181818181818,149666.92822578363,26115,184,27657,0.08909440441034695
184140,102,106,0.9622641509433962,422097.41223910823,26373,185,27657,0.08848674370529613
186120,98,98,1.0,380995.5672877189,26761,185,27657,0.08798328643112613
188100,107,109,0.981651376146789,439088.9174091127,27019,186,27657,0.08744392714610424
190080,107,111,0.963963963963964,451630.74837303534,27303,186,27657,0.08719112144076727
192060,92,96,0.9583333333333334,360740.1855407171,27727,187,27657,0.0869712471276653
194040,100,101,0.9900990099009901,350227.3059784286,28718,188,27657,0.08667080471817444
196020,103,107,0.9626168224299065,446130.2709034104,28897,188,27657,0.08644674647773773
198000,107,108,0.9907407407407407,419271.4961506855,29297,188,27657,0.08606843356678641
199980,105,106,0.9905660377358491,432461.09619744867,29574,188,27657,0.08569478976379717
201960,102,103,0.9902912621359223,405601.8249202352,29955,189,27657,0.08542110946916441
203940,92,96,0.9583333333333334,369283.5810936056,30171,189,27657,0.08516457019416386
205920,127,127,1.0,549664.7471456323,30313,189,27657,0.08472297158546818
207900,110,113,0.9734513274336283,444989.8574822396,30628,189,27657,0.08435195276015138
209880,133,134,0.9925373134328358,570583.3572024871,30785,189,27657,0.08398555462197915
211860,115,116,0.9913793103448276,479550.62070415914,31051,189,27657,0.08363896466472996
213840,131,131,1.0,562314.6587547045,31250,189,27657,0.0833580400830882
215820,130,131,0.9923664122137404,562381.8636031188,31433,189,27657,0.08307970127664209
217800,134,135,0.9925925925925926,575561.1275106035,31600,189,27657,0.08289566285757696
219780,136,139,0.9784172661870504,597968.4385379478,31768,189,27657,0.08273397358023582
