epoch,success_count,reset_count,success_rate,reward,collsion,outtime,first_success,angle_error
1980,0,3,0.0,-248125.44471946114,63,3,0,0.529247616424974
3960,0,5,0.0,-245486.25076433946,212,7,0,0.4079163210883588
5940,0,4,0.0,-140864.17362879205,335,11,0,0.47816544944638534
7920,0,5,0.0,-169821.90330775094,336,15,0,0.5629945847117762
9900,0,4,0.0,-155500.75379351596,355,19,0,0.5709108140591246
11880,0,4,0.0,-113877.58634850138,508,23,0,0.5511515479052775
13860,1,5,0.2,-123540.42249239911,928,26,13838,0.4322576647277216
15840,0,4,0.0,-111228.80796579714,1015,29,13838,0.39237652489925684
17820,0,4,0.0,-103302.48417246994,1136,33,13838,0.40935137134687305
19800,1,4,0.25,-100990.29264645907,1383,36,13838,0.37326379151464356
21780,0,4,0.0,-110528.17682310869,2406,40,13838,0.3701296620674684
23760,0,4,0.0,-80855.95477933343,2956,44,13838,0.3731162489820673
25740,0,4,0.0,-93023.16061097523,3074,48,13838,0.34914884471055735
27720,1,5,0.2,-102696.91210950934,4058,52,13838,0.3293913539068207
29700,0,4,0.0,-84827.68435603939,4668,56,13838,0.31857868808506684
31680,1,5,0.2,-91517.2952821115,5771,60,13838,0.3000423184761735
33660,0,4,0.0,-152490.1490635001,7063,64,13838,0.28777005830449603
35640,1,5,0.2,-144507.22070526518,7206,67,13838,0.28267480343645573
37620,2,6,0.3333333333333333,-86264.21633752063,7229,71,13838,0.2718449250195093
39600,1,5,0.2,-104280.08356041042,7268,75,13838,0.2643660860429119
41580,0,4,0.0,-114762.76555258874,7395,79,13838,0.2612875743636804
43560,1,5,0.2,-123804.26044964837,7477,83,13838,0.2558456645569335
45540,0,4,0.0,-201383.6378864483,8063,87,13838,0.2505816848132984
47520,0,4,0.0,-122605.42511359788,8742,91,13838,0.2548197126914637
49500,2,6,0.3333333333333333,-117970.21097710496,9687,93,13838,0.25033147891187574
51480,0,4,0.0,-156666.17610169481,9734,97,13838,0.25127425876068527
53460,0,4,0.0,-140892.452749799,9775,101,13838,0.25177685986622983
55440,0,4,0.0,-151603.9024251732,9779,105,13838,0.24905699657941452
57420,0,4,0.0,-164200.7073289263,9796,109,13838,0.24620559789789753
59400,0,4,0.0,-197677.24765944947,9811,113,13838,0.2442690588213278
61380,0,4,0.0,-158409.10193101224,9817,117,13838,0.2442690588213278
63360,0,4,0.0,-128579.69453180209,9817,121,13838,0.2442690588213278
65340,0,4,0.0,-168606.72948365752,10520,125,13838,0.2546668435715592
67320,0,4,0.0,-191272.85271713324,10590,129,13838,0.2546668435715592
69300,0,4,0.0,-210476.8664849708,10715,133,13838,0.2595292651269589
71280,0,4,0.0,-213507.65843025595,10718,137,13838,0.26076855741678506
73260,0,4,0.0,-162504.2752600452,10817,141,13838,0.2708556846136484
75240,0,4,0.0,-144175.31312934775,10825,145,13838,0.27500099979607134
77220,0,4,0.0,-141777.44409867842,11385,149,13838,0.2906393258142487
79200,0,4,0.0,-177515.7255010344,11864,153,13838,0.31031275410383913
81180,0,4,0.0,-250538.2178383153,11867,157,13838,0.31744280180511947
83160,0,4,0.0,-191554.62519132067,11964,161,13838,0.32542979182786297
85140,0,4,0.0,-194763.0051770266,11964,165,13838,0.32542979182786297
87120,0,3,0.0,-203241.3071168689,12060,168,13838,0.32542979182786297
89100,0,4,0.0,-228524.09544066153,12060,172,13838,0.32542979182786297
91080,0,4,0.0,-241335.49002240784,12066,176,13838,0.32484157205599923
93060,0,4,0.0,-219390.84896707162,12070,180,13838,0.325454347091035
95040,0,4,0.0,-194700.64368435368,12080,184,13838,0.325454347091035
97020,0,4,0.0,-207431.78473238274,12100,188,13838,0.33353480837145627
99000,0,4,0.0,-178378.60598782916,12140,192,13838,0.3470828432233197
100980,0,4,0.0,-201963.65751013067,12156,196,13838,0.3482403847988289
102960,0,4,0.0,-193569.5207264535,12156,200,13838,0.3482403847988289
104940,0,4,0.0,-179784.64921634924,12225,204,13838,0.36103192273221685
106920,0,4,0.0,-250563.30183432437,12603,208,13838,0.36622759437544905
108900,0,4,0.0,-221906.255343806,12629,212,13838,0.3700254514633326
110880,0,4,0.0,-204182.2389498446,12651,216,13838,0.3700254514633326
112860,0,4,0.0,-192437.6754304599,12651,220,13838,0.3700254514633326
114840,0,4,0.0,-229592.054652242,12706,224,13838,0.36971708185024665
116820,0,4,0.0,-193465.55950389616,12707,228,13838,0.37169794404143514
118800,0,4,0.0,-150325.56686501577,12714,232,13838,0.3709329702705274
120780,0,4,0.0,-242350.7122756634,12892,236,13838,0.38122615187309916
122760,0,4,0.0,-250023.31827339716,13080,240,13838,0.39003565353078934
124740,0,4,0.0,-193655.94217298925,13149,244,13838,0.39553886422851325
126720,0,4,0.0,-217406.8662124239,13176,248,13838,0.3979469027388385
128700,0,3,0.0,-204546.92432516254,13181,251,13838,0.40411546663610753
130680,0,4,0.0,-217422.49711919948,13235,255,13838,0.4060579567502679
132660,0,4,0.0,-163281.37387377024,13702,259,13838,0.40838237205417255
134640,0,4,0.0,-190485.1332655605,13885,263,13838,0.4157168873907017
136620,0,4,0.0,-169529.65811046772,13940,267,13838,0.41449259558725177
138600,0,4,0.0,-147501.86253253743,13940,271,13838,0.41449259558725177
140580,0,4,0.0,-177775.60352902114,13950,275,13838,0.4138385116548366
142560,0,4,0.0,-183965.71574599855,13985,279,13838,0.41225868905622454
144540,0,4,0.0,-185754.19169716164,13991,283,13838,0.41702743383242774
146520,0,4,0.0,-216242.89850703627,14249,287,13838,0.4316438076747268
148500,0,4,0.0,-230757.48235102557,14279,291,13838,0.4401890327751894
150480,0,4,0.0,-234875.55913844705,14471,295,13838,0.4404696134722155
152460,0,4,0.0,-226866.16782114282,14488,299,13838,0.4443952990601208
154440,0,4,0.0,-267879.79337340035,14511,303,13838,0.458122297390646
156420,0,4,0.0,-218101.24417820573,14530,307,13838,0.458122297390646
158400,0,4,0.0,-187820.01759277657,14536,311,13838,0.458122297390646
160380,0,4,0.0,-195496.6879388746,14536,315,13838,0.458122297390646
162360,0,4,0.0,-167330.888507301,14556,319,13838,0.47247343684881876
164340,0,4,0.0,-181886.60818908922,14591,323,13838,0.47699968756516314
166320,0,4,0.0,-226553.88127971627,14742,327,13838,0.4791600022401494
168300,0,4,0.0,-196471.2964925766,14914,331,13838,0.4871553564431103
170280,0,3,0.0,-195257.83496163227,15494,334,13838,0.497389355147324
172260,0,4,0.0,-191246.06176372245,15780,338,13838,0.509662773841743
174240,0,4,0.0,-215972.24895931967,17214,342,13838,0.5076440708814026
176220,0,4,0.0,-172839.80073888786,18181,346,13838,0.5107218302241375
178200,0,4,0.0,-281903.4143067561,19294,350,13838,0.5136174481972897
180180,1,5,0.2,-221214.9397721775,20294,354,13838,0.5110091615158607
182160,0,4,0.0,-167368.43359395675,21083,358,13838,0.5102509034381839
184140,0,4,0.0,-341083.96980604157,21676,362,13838,0.5111797716383865
186120,0,4,0.0,-312677.04263957776,22097,366,13838,0.5288544189839868
188100,0,4,0.0,-219517.59886013716,22272,370,13838,0.5355907587126688
190080,0,4,0.0,-188367.57178851217,22301,374,13838,0.5373530243002576
192060,0,4,0.0,-210492.54065278918,22322,378,13838,0.5361692990614831
194040,0,3,0.0,-264463.8998544514,23168,381,13838,0.5372677235619688
196020,0,4,0.0,-198039.12650066987,23209,385,13838,0.5386040198929914
198000,0,4,0.0,-244515.0793025121,23220,389,13838,0.5386040198929914
199980,0,4,0.0,-172577.26537425816,23235,393,13838,0.5386040198929914
201960,0,4,0.0,-188205.01394736767,23251,397,13838,0.539668257222396
203940,0,4,0.0,-193808.48544224352,23280,401,13838,0.5403065530743009
205920,0,4,0.0,-205591.7737861611,23493,405,13838,0.5407479406872919
207900,0,4,0.0,-206304.67937860265,23542,409,13838,0.5417256908477945
209880,0,4,0.0,-203666.18599939346,23663,413,13838,0.5443860986117359
211860,0,4,0.0,-193505.74289533496,23769,417,13838,0.5427654463930548
213840,0,4,0.0,-215318.1090962924,23809,421,13838,0.5450879090011183
215820,0,4,0.0,-194673.77349182218,24052,425,13838,0.5416365759412581
217800,1,4,0.25,-168248.64706295356,24655,428,13838,0.55185683561434
219780,0,4,0.0,-173054.18269901723,25009,432,13838,0.5585954050055151
