epoch,success_count,reset_count,success_rate,reward,collsion,outtime,first_success,angle_error
1980,0,3,0.0,-274674.3283423005,971,3,0,0.8571466175276556
3960,0,4,0.0,-143845.7673557956,1095,7,0,0.8143302392949702
5940,0,4,0.0,-124397.12899921788,1125,11,0,0.8143302392949702
7920,0,4,0.0,-49596.674525696086,1131,15,0,0.565713475263885
9900,0,4,0.0,-51750.51652406459,1139,19,0,0.470352682708716
11880,0,4,0.0,-49746.766812410904,1141,23,0,0.3514814452293095
13860,0,4,0.0,-56501.53955184179,1201,27,0,0.28526436692815066
15840,0,4,0.0,-154672.63909102057,1894,31,0,0.3209731969678679
17820,0,4,0.0,-170224.0654691545,3054,35,0,0.5339927044636797
19800,0,4,0.0,-121866.53983205766,4141,39,0,0.505067344975415
21780,0,4,0.0,-40395.369057068834,4153,43,0,0.47295440792515536
23760,7,11,0.6363636363636364,-31262.22441088385,4228,46,22660,0.4119275006117296
25740,2,5,0.4,-71972.92820599885,4380,49,22660,0.4196122572295927
27720,1,6,0.16666666666666666,-92789.88348591817,5093,53,22660,0.45105987789579854
29700,1,4,0.25,-34836.33097527339,5109,56,22660,0.4246271489090615
31680,14,17,0.8235294117647058,15756.68325964245,5190,58,22660,0.32426591630060114
33660,3,6,0.5,-33944.170243181754,5241,60,22660,0.30689230010438984
35640,1,5,0.2,-46893.356986603,5337,64,22660,0.30103832662782715
37620,3,6,0.5,-25127.11938931467,5344,67,22660,0.28758919744984796
39600,16,22,0.7272727272727273,11615.687642848352,5795,70,22660,0.24362352802385512
41580,2,6,0.3333333333333333,-32392.064015047858,5914,74,22660,0.23737490568218347
43560,3,6,0.5,-58593.049645426916,6649,77,22660,0.24968754555285205
45540,4,8,0.5,-46150.70525873639,7047,81,22660,0.24906120109134366
47520,9,10,0.9,-30298.699449128937,7370,82,22660,0.23860274740923867
49500,6,8,0.75,-25107.223726991564,7450,84,22660,0.23275785106733593
51480,9,12,0.75,-42880.833834746154,7806,86,22660,0.22896096854853026
53460,29,30,0.9666666666666667,34022.76698200102,8294,86,22660,0.20833254367932466
55440,15,18,0.8333333333333334,-11425.09613051801,8568,89,22660,0.20122350219705665
57420,20,26,0.7692307692307693,13640.552675260697,8935,92,22660,0.19267513804949757
59400,5,8,0.625,-26707.17879600986,9011,95,22660,0.19068469682181752
61380,5,7,0.7142857142857143,-43967.353159690276,9387,97,22660,0.18910923925453943
63360,0,4,0.0,-156435.24800196104,10319,101,22660,0.19117254689265487
65340,3,7,0.42857142857142855,-34892.142580882646,10336,105,22660,0.19001395956138417
67320,1,5,0.2,-58023.07871860801,10489,109,22660,0.18872871803134256
69300,11,13,0.8461538461538461,-4395.557080040686,10548,111,22660,0.18496486113296778
71280,11,13,0.8461538461538461,-4382.270352239255,10628,113,22660,0.1830950563216817
73260,1,4,0.25,-53093.13523236732,10980,116,22660,0.183560962262547
75240,35,40,0.875,69778.0331018013,11653,119,22660,0.17277191037704984
77220,20,24,0.8333333333333334,6911.635098545346,11887,121,22660,0.16571138427767412
79200,13,17,0.7647058823529411,-84836.7169886562,13001,123,22660,0.16250100951841812
81180,17,20,0.85,17506.868949916214,13044,125,22660,0.15739922009460697
83160,23,28,0.8214285714285714,30639.624722315,13232,128,22660,0.15556129645744443
85140,2,6,0.3333333333333333,-72948.62419573963,13593,132,22660,0.15683729629339163
87120,7,10,0.7,-38803.76990462234,13976,135,22660,0.15659527396316653
89100,4,7,0.5714285714285714,-47168.62031511869,13992,137,22660,0.16001734315767827
91080,12,16,0.75,-21033.29638433829,14172,139,22660,0.1611827113231513
93060,12,15,0.8,-70047.52911716187,14760,142,22660,0.1609254626990276
95040,18,21,0.8571428571428571,4198.867014458869,14994,144,22660,0.16024138827151677
97020,14,18,0.7777777777777778,13840.20724320924,15039,147,22660,0.15860903095841147
99000,30,32,0.9375,54440.35919993231,15271,148,22660,0.15625447134117496
100980,28,31,0.9032258064516129,10688.817248715088,16319,150,22660,0.153671075971463
102960,38,41,0.926829268292683,71252.83617546828,16876,152,22660,0.15025416469526381
104940,49,50,0.98,116733.82336640707,17403,153,22660,0.14833073163211516
106920,51,54,0.9444444444444444,84826.64109991677,18355,153,22660,0.14771749752642152
108900,59,62,0.9516129032258065,170078.23077808344,18963,153,22660,0.14479941568232718
110880,22,25,0.88,-41666.05307740532,19551,155,22660,0.1445422923859321
112860,26,28,0.9285714285714286,-3213.7882231869735,20103,157,22660,0.14449643903498943
114840,23,27,0.8518518518518519,6739.315518497955,20537,159,22660,0.14488064806442427
116820,48,52,0.9230769230769231,95055.41648847354,21297,160,22660,0.14433959024000304
118800,77,79,0.9746835443037974,247444.62597373012,21800,161,22660,0.1396714108246293
120780,38,38,1.0,73148.60947613255,22314,162,22660,0.13829000959292853
122760,49,55,0.8909090909090909,118218.66097906209,22913,163,22660,0.13624353415753745
124740,64,70,0.9142857142857143,173322.82223304454,23502,163,22660,0.1332692180842161
126720,40,43,0.9302325581395349,43051.86911753309,23762,164,22660,0.13182207490745035
128700,44,52,0.8461538461538461,100166.54949765105,23971,165,22660,0.13032443215287218
130680,23,28,0.8214285714285714,-20888.21227958065,24176,169,22660,0.13019162826374206
132660,98,102,0.9607843137254902,334600.4472229938,24585,169,22660,0.12856680213968125
134640,77,82,0.9390243902439024,231526.22286235355,25462,170,22660,0.12705220640302425
136620,69,72,0.9583333333333334,189356.61588738894,26307,170,22660,0.1261392509113922
138600,86,93,0.9247311827956989,283066.71623444924,26740,170,22660,0.12537150288055304
140580,48,49,0.9795918367346939,56104.16261199447,27822,171,22660,0.12487689922295657
142560,87,93,0.9354838709677419,281951.516071877,28240,172,22660,0.12436286266033154
144540,66,71,0.9295774647887324,215737.66186730983,28716,173,22660,0.12395444127877295
146520,64,67,0.9552238805970149,170597.3456899108,29346,174,22660,0.1233796845228604
148500,42,46,0.9130434782608695,101041.93541817134,29597,176,22660,0.1225548532268395
150480,54,56,0.9642857142857143,146481.71633287065,29829,177,22660,0.12187882493983734
152460,74,74,1.0,206116.03946615919,30328,177,22660,0.12157659207446465
154440,24,28,0.8571428571428571,-903.0602543510031,31555,180,22660,0.12130860041553321
156420,38,41,0.926829268292683,40886.09066086612,32443,182,22660,0.12086604139896859
158400,13,16,0.8125,-37012.5698891466,33088,185,22660,0.12069104166540552
160380,59,66,0.8939393939393939,158768.3818595009,33623,187,22660,0.11976311474407901
162360,50,55,0.9090909090909091,111464.7728680193,34262,189,22660,0.11965683411033462
164340,47,49,0.9591836734693877,81153.40379943512,34898,191,22660,0.11945287032682995
166320,68,72,0.9444444444444444,197300.31571801868,35331,192,22660,0.11918479540018229
168300,72,74,0.972972972972973,202039.22819855786,36139,193,22660,0.11863285987367894
170280,100,102,0.9803921568627451,326029.1919320817,36747,193,22660,0.11787669897464792
172260,98,101,0.9702970297029703,349788.0923854471,37306,193,22660,0.11751997583699897
174240,118,119,0.9915966386554622,426264.08244263893,37753,193,22660,0.11730897891268573
176220,106,108,0.9814814814814815,358589.8343592617,38353,193,22660,0.11762509908763144
178200,101,106,0.9528301886792453,346486.39667136176,38953,194,22660,0.11782200576644793
180180,81,84,0.9642857142857143,263951.6856184015,39693,195,22660,0.11796059830101185
182160,83,87,0.9540229885057471,265000.65118170483,40161,196,22660,0.11823373105183378
184140,71,73,0.9726027397260274,214580.62422575057,40767,197,22660,0.11845580246838937
186120,81,82,0.9878048780487805,273133.9798002606,41066,198,22660,0.11916495341040115
188100,112,112,1.0,407635.29942804296,41518,198,22660,0.11916724041967756
190080,79,81,0.9753086419753086,229108.0500071803,42259,199,22660,0.11942540932367975
192060,115,117,0.9829059829059829,415015.7631711392,42801,199,22660,0.11942262463335637
194040,99,104,0.9519230769230769,317723.174073562,43523,199,22660,0.11961504383706917
196020,59,64,0.921875,151720.73883344792,44176,201,22660,0.11944035228619382
198000,61,62,0.9838709677419355,151843.07837132085,44852,202,22660,0.11967125398231447
199980,125,128,0.9765625,471210.379746235,45165,202,22660,0.11999097776244212
201960,59,62,0.9516129032258065,173514.6916108178,45573,203,22660,0.12003658387029074
203940,99,103,0.9611650485436893,348300.98285775166,45865,204,22660,0.12011921179028615
205920,77,81,0.9506172839506173,250701.5792189045,46196,206,22660,0.12014607426446836
207900,65,67,0.9701492537313433,208286.71720471326,46447,208,22660,0.12003749503182055
209880,91,92,0.9891304347826086,279582.3710879525,47144,209,22660,0.11976261955042647
211860,92,94,0.9787234042553191,287133.0323740449,47873,210,22660,0.11956134147922437
213840,104,106,0.9811320754716981,369008.40655578487,48407,211,22660,0.11933982977225586
215820,122,122,1.0,439289.2813814413,48908,211,22660,0.1188208099892972
217800,99,104,0.9519230769230769,333144.4831141941,49594,212,22660,0.11851956507803792
219780,92,94,0.9787234042553191,296847.35022916086,50359,212,22660,0.11823878614084991
