epoch,success_count,reset_count,success_rate,reward,collsion,outtime,first_success,angle_error
1980,0,3,0.0,-199144.4668715019,0,3,0,0.0
3960,0,4,0.0,-84811.82578987835,34,7,0,0.1937522850410801
5940,0,4,0.0,-48434.4869194699,36,11,0,0.1292129505434266
7920,0,4,0.0,-41789.543530932046,42,15,0,0.08264427986748996
9900,0,4,0.0,-52832.021085091576,56,19,0,0.14022206149115174
11880,0,4,0.0,-43343.27628130786,93,23,0,0.121391747363217
13860,0,4,0.0,-42869.64495464205,111,27,0,0.1380381819274838
15840,0,4,0.0,-43626.016622332274,128,30,0,0.17728993224339898
17820,0,4,0.0,-46061.99798841588,138,34,0,0.18188396369806428
19800,0,4,0.0,-67156.72566970438,209,38,0,0.18960845109436733
21780,0,4,0.0,-51185.53525346005,232,42,0,0.1852689627867558
23760,0,4,0.0,-37705.55683265859,255,46,0,0.18314032994475635
25740,0,4,0.0,-44673.78433127655,263,50,0,0.1805209714368745
27720,1,5,0.2,-41404.8208906356,266,54,27577,0.17504670633466357
29700,1,5,0.2,-48474.66127252905,352,58,27577,0.18399252726510468
31680,0,4,0.0,-40560.06242638535,356,62,27577,0.18325079912825373
33660,0,4,0.0,-54666.21175906283,426,66,27577,0.1979407703129323
35640,1,4,0.25,-68029.05413462827,915,69,27577,0.22359399187036713
37620,0,4,0.0,-49072.60172213684,1014,73,27577,0.21501041278975655
39600,0,4,0.0,-40068.2530708632,1023,77,27577,0.20826810922298727
41580,0,4,0.0,-50191.681059212424,1120,81,27577,0.20434777239020313
43560,0,4,0.0,-45975.95516601554,1164,85,27577,0.20109287819977276
45540,0,4,0.0,-40589.16060878197,1175,89,27577,0.1963028961865628
47520,0,4,0.0,-55295.03371528047,1275,93,27577,0.19802059348816042
49500,1,5,0.2,-43636.528242385015,1279,97,27577,0.19509552899913743
51480,0,4,0.0,-42327.066382833524,1284,101,27577,0.19467837688755202
53460,0,4,0.0,-59488.88538462599,1316,105,27577,0.19431406041615853
55440,0,4,0.0,-42206.676378743956,1319,109,27577,0.1930753758772368
57420,1,5,0.2,-44557.52896145894,1328,113,27577,0.1943494825427195
59400,0,4,0.0,-46829.1892862292,1399,117,27577,0.1931250097325013
61380,0,4,0.0,-36606.18909682287,1402,121,27577,0.18955358829565655
63360,0,4,0.0,-61661.04540055338,1646,125,27577,0.18805314511009516
65340,0,4,0.0,-46246.55264410027,1655,129,27577,0.19131286470634765
67320,0,4,0.0,-38093.14803924668,1656,133,27577,0.19045104637699783
69300,0,4,0.0,-60694.32244134089,2286,137,27577,0.2144059812225785
71280,0,3,0.0,-82139.90401073126,3547,140,27577,0.23340162691807217
73260,0,4,0.0,-45026.9266158368,3814,144,27577,0.23153310527825502
75240,2,6,0.3333333333333333,-23319.033166469075,3837,148,27577,0.22538846607282295
77220,2,6,0.3333333333333333,-25235.531869003084,3843,151,27577,0.22205250694548692
79200,3,7,0.42857142857142855,-25358.966876060702,3920,155,27577,0.21846924158451658
81180,1,4,0.25,-36251.74019168969,3928,158,27577,0.22020937027626347
83160,2,6,0.3333333333333333,-26081.400755270384,3937,162,27577,0.21760311242761782
85140,3,7,0.42857142857142855,-25127.32250989182,3979,166,27577,0.21807463146125225
87120,2,5,0.4,-28164.11341115879,3988,169,27577,0.2183981011519814
89100,4,6,0.6666666666666666,-27481.76990435645,4169,171,27577,0.21485511762425366
91080,2,5,0.4,-35258.84890761087,4230,174,27577,0.21168588049461787
93060,4,8,0.5,-21714.157215126324,4344,178,27577,0.20783232159794118
95040,1,4,0.25,-37761.939726467244,4398,181,27577,0.20621003983265762
97020,2,5,0.4,-29482.14341317257,4425,184,27577,0.20672486539456394
99000,3,6,0.5,-29875.164979599416,4504,187,27577,0.2078667045111482
100980,5,8,0.625,-15284.830831163563,4516,190,27577,0.2057193268494703
102960,1,4,0.25,-47024.80427967338,4643,193,27577,0.2063438211482102
104940,0,5,0.0,-44420.366172879,4646,197,27577,0.2050409554145232
106920,0,4,0.0,-46299.29176488053,4647,201,27577,0.20477291106657244
108900,0,4,0.0,-43869.09006170463,4648,205,27577,0.20431435172491919
110880,7,10,0.7,-10948.125342120416,4686,208,27577,0.20472151460202767
112860,1,5,0.2,-31465.851990602445,4692,212,27577,0.20319799622412596
114840,2,5,0.4,-88717.40362074133,4696,215,27577,0.20543118265844176
116820,5,9,0.5555555555555556,-32818.936994924676,4839,219,27577,0.20653093545970885
118800,12,15,0.8,-2754.8521201829426,4941,222,27577,0.20754853949552377
120780,5,9,0.5555555555555556,-27967.096375480294,4953,226,27577,0.20657724549516548
122760,6,9,0.6666666666666666,-8733.074859902263,4959,229,27577,0.20454239492213017
124740,4,7,0.5714285714285714,-19985.690651263576,4986,232,27577,0.20271516981941637
126720,1,4,0.25,-36472.46266530221,5055,235,27577,0.20167689228118607
128700,2,6,0.3333333333333333,-39543.37693319144,5132,239,27577,0.2015243463097787
130680,1,5,0.2,-86252.97365787579,5350,243,27577,0.20191154177881662
132660,0,4,0.0,-113048.09294287907,5932,247,27577,0.20415537121053098
134640,0,3,0.0,-86776.64795399085,6017,250,27577,0.2059681096972091
136620,2,6,0.3333333333333333,-35492.91109508835,6020,254,27577,0.2056352859684463
138600,8,11,0.7272727272727273,-9985.82496081153,6085,257,27577,0.2036779858554099
140580,21,26,0.8076923076923077,56364.096460748464,6182,260,27577,0.20193795823978744
142560,18,21,0.8571428571428571,40904.51449754415,6208,261,27577,0.19874321782066492
144540,31,36,0.8611111111111112,94288.39784387965,6285,263,27577,0.18894819234201052
146520,23,25,0.92,30119.13122268347,6641,265,27577,0.1792174021454143
148500,12,16,0.75,-5038.183595537674,6928,268,27577,0.1770398698183808
150480,11,15,0.7333333333333333,-7135.69360014936,7043,270,27577,0.1755806875996794
152460,16,20,0.8,10881.994662490673,7346,272,27577,0.17279915980277558
154440,2,6,0.3333333333333333,-47385.56243998883,7502,275,27577,0.1724981831872119
