epoch,success_count,reset_count,success_rate,reward,collsion,outtime,first_success,angle_error
1980,0,3,0.0,-156592.23676399866,178,3,0,0.8858479342011015
3960,0,4,0.0,-95299.92277388996,383,7,0,0.5743024430108237
5940,0,4,0.0,-47864.4699022127,436,11,0,0.3769317477930961
7920,0,4,0.0,-57498.593132543436,610,15,0,0.2858524988331557
9900,0,4,0.0,-46585.042288972705,618,19,0,0.24835931901429403
11880,0,5,0.0,-59822.514870866726,679,23,0,0.2496262248514143
13860,2,6,0.3333333333333333,-51952.03635300888,831,27,13692,0.2449866469092257
15840,3,7,0.42857142857142855,-61366.07618164783,939,30,13692,0.2517460539195421
17820,1,4,0.25,-91354.61148281302,1208,33,13692,0.2526975082879707
19800,1,5,0.2,-62285.28547235089,1357,37,13692,0.23004581983912994
21780,4,8,0.5,-42262.82896658825,1434,39,13692,0.23219078580402794
23760,4,7,0.5714285714285714,-94456.69979176705,1661,42,13692,0.24750110581114768
25740,2,6,0.3333333333333333,-74854.08804868616,2063,45,13692,0.23320561809901028
27720,1,4,0.25,-57975.83657576062,2171,48,13692,0.2285490721788581
29700,0,4,0.0,-120063.2947361886,2282,52,13692,0.22946801347338544
31680,2,5,0.4,-60999.79124275339,2346,55,13692,0.23197062381913883
33660,1,5,0.2,-108745.75568482024,2631,59,13692,0.22963618380044856
35640,1,4,0.25,-206297.97697424958,3032,62,13692,0.24905745147580538
37620,0,4,0.0,-138743.72005839506,3419,66,13692,0.24427091783863825
39600,0,4,0.0,-199327.83925155015,3573,70,13692,0.24834677824287196
41580,0,4,0.0,-172163.74210081738,3613,74,13692,0.2608363755703175
43560,0,4,0.0,-175774.50255358126,3660,78,13692,0.26446751948445585
45540,0,4,0.0,-171336.12476532487,3661,82,13692,0.26446751948445585
47520,0,4,0.0,-191562.61927917507,4367,86,13692,0.2686142975190175
49500,0,4,0.0,-169322.30096707027,4476,90,13692,0.2703330559234003
51480,0,4,0.0,-162816.98159903474,4533,94,13692,0.26940648259361993
53460,0,4,0.0,-206695.5095189074,4533,98,13692,0.26940648259361993
55440,0,4,0.0,-172961.75873923488,4550,102,13692,0.2708190153506931
57420,1,4,0.25,-129635.32491109287,4938,105,13692,0.27204114392679946
59400,0,5,0.0,-224262.0512380083,5533,109,13692,0.2766335371033709
61380,1,5,0.2,-164463.42635958642,5623,113,13692,0.27137707775171976
63360,0,4,0.0,-188097.97778174467,6168,117,13692,0.2829577482923826
65340,0,5,0.0,-205978.71245544218,6646,121,13692,0.2867947042355097
67320,0,4,0.0,-139705.74994436512,6673,125,13692,0.2949537046264083
69300,0,4,0.0,-88663.09425644297,6720,129,13692,0.2966474640771305
71280,0,4,0.0,-155785.82368957996,6871,133,13692,0.2954294231780834
73260,0,4,0.0,-170524.85153147858,7050,137,13692,0.29609137817590697
75240,1,4,0.25,-190565.9478860097,7146,140,13692,0.30033228833749365
77220,0,4,0.0,-139229.3963394286,7228,144,13692,0.30051787764623095
79200,0,5,0.0,-149824.4936915934,7451,148,13692,0.297598286096033
81180,0,4,0.0,-202783.23393365927,7667,152,13692,0.29601953945177756
83160,0,5,0.0,-161600.7061670972,7996,156,13692,0.29552657677649946
85140,1,5,0.2,-173920.57194570173,8154,160,13692,0.29258715034221217
87120,0,4,0.0,-173381.70323399175,8290,164,13692,0.29017250300379716
89100,0,4,0.0,-166568.78340716008,8479,168,13692,0.2888992434254765
91080,0,5,0.0,-141173.68552162033,8646,172,13692,0.28989504388447995
93060,1,4,0.25,-144441.17853920162,8800,175,13692,0.28618182109208923
95040,2,6,0.3333333333333333,-162235.63500131108,9383,179,13692,0.288150616801634
97020,0,4,0.0,-181199.12867608853,10104,183,13692,0.28737952453352844
99000,0,4,0.0,-270481.655380683,10323,187,13692,0.2831145761199935
100980,0,4,0.0,-175231.2327198414,10406,190,13692,0.27964364276871656
102960,0,5,0.0,-223472.881880234,10801,194,13692,0.2746949935071177
104940,0,6,0.0,-170034.01603387762,11102,197,13692,0.27211112458658054
106920,0,5,0.0,-173240.85305492487,11205,200,13692,0.27574283268248145
108900,0,5,0.0,-172710.75270762853,11780,204,13692,0.2784188070532513
110880,0,4,0.0,-148211.22134224977,11863,208,13692,0.28229925639159176
112860,1,4,0.25,-92170.5345852673,11906,211,13692,0.28152974874059444
114840,0,4,0.0,-245272.89200303517,11996,215,13692,0.2812342984586033
116820,0,4,0.0,-150943.71732780896,12078,219,13692,0.2844998394457683
118800,0,4,0.0,-170772.21546647884,12137,223,13692,0.28396272408551104
120780,0,4,0.0,-202748.41132352874,12244,227,13692,0.2838504893273066
122760,0,4,0.0,-200826.69497809187,12257,231,13692,0.2848904895676354
124740,0,5,0.0,-135870.2796621248,12353,235,13692,0.2833100062284454
126720,1,4,0.25,-163340.2172124125,12639,238,13692,0.28449282614320165
128700,0,4,0.0,-149731.14045613818,12790,242,13692,0.29009942258880766
130680,0,4,0.0,-123751.07870199904,12799,246,13692,0.2901201979853982
132660,0,4,0.0,-118998.55939238332,12814,250,13692,0.28951852025743197
134640,0,4,0.0,-148567.21394081973,12879,254,13692,0.2891155617565682
136620,1,4,0.25,-129163.39194485918,13017,257,13692,0.2866929175792126
138600,0,4,0.0,-80580.16903377324,13072,261,13692,0.28602710325451813
140580,0,4,0.0,-94567.7728256844,13073,265,13692,0.28602710325451813
142560,0,4,0.0,-119567.91649630666,13074,269,13692,0.2886252395971618
144540,0,4,0.0,-120351.1928995382,13100,273,13692,0.2920061771398479
146520,0,4,0.0,-76745.40989173204,13210,277,13692,0.29246151356776506
148500,0,4,0.0,-120117.12829858623,13623,281,13692,0.29141782771025365
150480,0,4,0.0,-117081.5587759912,13767,285,13692,0.29047635266604593
152460,0,4,0.0,-168483.55598536693,13853,289,13692,0.2888115291252397
154440,0,4,0.0,-142084.31384530105,13907,293,13692,0.287433688370922
156420,1,5,0.2,-98859.72680771537,14227,296,13692,0.285810783319929
158400,0,4,0.0,-83664.59571032785,14341,300,13692,0.28277795078800944
160380,0,4,0.0,-72762.38790244982,14383,304,13692,0.2814439793114754
162360,1,5,0.2,-61722.68329586089,14449,308,13692,0.2793603148156817
164340,2,6,0.3333333333333333,-106532.97201158665,14545,311,13692,0.2764565227075051
166320,1,5,0.2,-80821.53354833461,14569,315,13692,0.2743548764462688
168300,7,8,0.875,-60189.97202761099,14765,316,13692,0.2803208031798091
170280,2,5,0.4,-72477.51859610155,14876,318,13692,0.2813909925741368
