epoch,success_count,reset_count,success_rate,reward,collsion,outtime,first_success,angle_error
1980,1,4,0.25,-175494.74974502952,70,3,1111,0.19610343993866378
3960,1,5,0.2,-60093.809591351426,176,6,1111,0.17118917362017613
5940,0,4,0.0,-52985.43590469964,197,10,1111,0.18115625626631543
7920,0,4,0.0,-57915.24287055957,232,14,1111,0.1801928672145527
9900,1,4,0.25,-52333.54250360554,333,17,1111,0.18525807323755986
11880,0,4,0.0,-52254.13839177688,370,21,1111,0.19024184230884572
13860,3,7,0.42857142857142855,-38680.06463713257,473,25,1111,0.18305280965373583
15840,0,4,0.0,-52272.87440792093,505,29,1111,0.18383767468259532
17820,2,5,0.4,-66455.14982087503,866,31,1111,0.2395797183656213
19800,0,4,0.0,-93084.89172142709,1294,35,1111,0.2833586017519953
21780,1,4,0.25,-56624.618246258586,1337,38,1111,0.3051960660723173
23760,1,5,0.2,-58613.363111763145,1555,42,1111,0.2943286649186229
25740,0,4,0.0,-49504.61123540916,1568,46,1111,0.2857369604142879
27720,4,7,0.5714285714285714,-31179.215405287803,1616,49,1111,0.261725259364318
29700,4,7,0.5714285714285714,-54923.761823806446,1830,52,1111,0.24748533480498722
31680,1,5,0.2,-73228.76218887349,1923,56,1111,0.2445833303375748
33660,2,4,0.5,-55973.85652699438,2252,58,1111,0.2400525797663642
35640,0,4,0.0,-50073.57325839158,2397,62,1111,0.24022371271497556
37620,0,4,0.0,-50735.98044183967,2437,66,1111,0.24394307645704902
39600,1,5,0.2,-88310.07896734308,3292,69,1111,0.25283244840360614
41580,2,5,0.4,-64359.723042768426,4091,72,1111,0.25990628777627495
43560,0,4,0.0,-57323.947276634164,4325,76,1111,0.26994164915585594
45540,0,4,0.0,-68688.85053412477,4875,79,1111,0.2667912006484527
47520,2,6,0.3333333333333333,-49476.28755686269,5175,83,1111,0.25976430351794155
49500,0,4,0.0,-51777.41601328761,5184,87,1111,0.2580264266258107
51480,9,11,0.8181818181818182,-14464.786440004595,5272,88,1111,0.2481538963552039
53460,1,5,0.2,-55527.660423971014,5396,92,1111,0.24893225247658726
55440,2,4,0.5,-65908.71577764442,5713,94,1111,0.24766693288233135
57420,10,13,0.7692307692307693,-6279.863468987169,5756,97,1111,0.23333702586297037
59400,1,5,0.2,-57277.729180107825,5811,101,1111,0.23247821182803455
61380,6,7,0.8571428571428571,-32680.42953280057,5934,102,1111,0.2325437932387379
63360,6,8,0.75,-39111.31988717266,6365,104,1111,0.23434025545351003
65340,3,5,0.6,-46890.31471268507,6537,106,1111,0.23556749370385
67320,0,4,0.0,-55743.6631088329,6664,110,1111,0.23476495969524752
69300,1,5,0.2,-41087.483479558956,6677,114,1111,0.23312597186892545
71280,2,5,0.4,-33295.960919420235,6683,117,1111,0.22854002406494964
73260,4,7,0.5714285714285714,-23774.674629996298,6701,120,1111,0.2226319579537411
75240,6,8,0.75,-43674.30550756166,6899,122,1111,0.21721345013518076
77220,4,6,0.6666666666666666,-45751.70139706158,7174,124,1111,0.21487694513500155
79200,2,6,0.3333333333333333,-34062.306003755424,7244,128,1111,0.21636583481862925
81180,11,14,0.7857142857142857,-8583.9288002057,7418,130,1111,0.2317936588006922
83160,4,7,0.5714285714285714,-35048.91591847874,7445,133,1111,0.237840846097449
85140,3,8,0.375,-49163.13606901746,7638,137,1111,0.2359093893140128
87120,10,13,0.7692307692307693,-21029.620747759473,7877,139,1111,0.23143096611522593
89100,11,16,0.6875,902.3530976837501,8183,140,1111,0.2273595121673327
91080,8,11,0.7272727272727273,-24215.52248053439,8494,142,1111,0.22398946831458993
93060,13,16,0.8125,8890.5306556453,8616,144,1111,0.2177550152869115
95040,6,9,0.6666666666666666,-30416.085387973115,8796,146,1111,0.21554022090212538
97020,17,21,0.8095238095238095,19681.22452883469,9011,148,1111,0.20895679441599635
99000,16,20,0.8,24466.865822046995,9114,150,1111,0.20426489674058657
100980,8,13,0.6153846153846154,-16163.890939014964,9346,151,1111,0.2016830796206941
102960,19,21,0.9047619047619048,9428.217996422667,9728,152,1111,0.20416774701577475
104940,9,15,0.6,-25296.578902952373,9934,153,1111,0.20515763837632192
106920,19,23,0.8260869565217391,33198.90377459815,10056,155,1111,0.2061162703073619
108900,7,11,0.6363636363636364,-47173.71016219584,10413,158,1111,0.20713203918225986
110880,38,44,0.8636363636363636,106821.5158373937,10612,159,1111,0.2021715013473152
112860,13,17,0.7647058823529411,-29386.57096533943,11154,161,1111,0.19962027767612162
114840,15,19,0.7894736842105263,242.3275130954571,11525,163,1111,0.19861397978348938
116820,25,29,0.8620689655172413,46501.33611507667,11739,165,1111,0.19674309052718908
118800,32,34,0.9411764705882353,60490.114341287874,12205,165,1111,0.194742523199078
120780,4,9,0.4444444444444444,-75607.66388214193,12574,168,1111,0.19486937186702752
122760,23,26,0.8846153846153846,24851.570890238043,12924,170,1111,0.19124981778322245
124740,18,21,0.8571428571428571,4842.0057444632985,13288,171,1111,0.1889173344852227
126720,33,35,0.9428571428571428,55132.67835939815,13795,172,1111,0.1881969371436353
128700,36,39,0.9230769230769231,50226.135749665555,14726,173,1111,0.1869767273093412
130680,34,39,0.8717948717948718,30939.439614288043,15870,173,1111,0.1873356170047495
132660,43,48,0.8958333333333334,88072.77714062599,16588,175,1111,0.18475274876286107
134640,26,30,0.8666666666666667,11682.34412500402,17239,177,1111,0.18378688533614385
136620,68,73,0.9315068493150684,237089.17125536408,17731,177,1111,0.18206910134566898
138600,80,88,0.9090909090909091,319041.0790512394,17977,177,1111,0.17963547838228477
140580,66,69,0.9565217391304348,239320.80483956938,18163,177,1111,0.17796326614367838
142560,47,54,0.8703703703703703,116652.74726151454,18813,178,1111,0.17606239999061862
144540,65,74,0.8783783783783784,243319.10200505238,19192,178,1111,0.17660948569896553
146520,49,55,0.8909090909090909,110761.60422153294,20016,178,1111,0.17779750939188946
148500,67,72,0.9305555555555556,232491.16482107044,20536,178,1111,0.17975699777280504
150480,94,101,0.9306930693069307,364397.8044350905,20882,178,1111,0.18023642962995529
152460,95,106,0.8962264150943396,379884.7761394667,21210,178,1111,0.17941479630890161
154440,81,84,0.9642857142857143,288637.4613614585,21737,178,1111,0.17973843558775024
156420,100,105,0.9523809523809523,412626.98264372314,22011,178,1111,0.18107984743096606
158400,79,89,0.8876404494382022,300370.3699881098,22514,178,1111,0.18302871626877992
160380,56,62,0.9032258064516129,195639.36342611257,22896,179,1111,0.1846616536446617
162360,45,50,0.9,101659.71063364204,23601,180,1111,0.18497310412400178
164340,60,64,0.9375,160633.5554227077,24444,181,1111,0.18553356006812632
166320,111,114,0.9736842105263158,458137.37796659674,24748,182,1111,0.18589836300041915
168300,74,79,0.9367088607594937,244373.92675431957,25335,183,1111,0.18695768935901824
170280,83,85,0.9764705882352941,279047.3536207001,26100,183,1111,0.18725816822755353
172260,94,100,0.94,362564.4624902066,26609,184,1111,0.18880905810710752
174240,69,75,0.92,200355.8042563107,27495,185,1111,0.18989609408209818
176220,87,90,0.9666666666666667,306784.8043225971,28068,186,1111,0.18977217287103854
178200,107,110,0.9727272727272728,431644.5013062889,28528,186,1111,0.18934195749741087
180180,55,58,0.9482758620689655,140507.12144528236,29377,188,1111,0.1893452828671389
182160,87,90,0.9666666666666667,340894.7588227759,29606,188,1111,0.18904232564098264
184140,90,94,0.9574468085106383,329967.70095948316,30079,190,1111,0.18865809101877587
186120,113,116,0.9741379310344828,450987.9807588402,30598,190,1111,0.18786622062080505
188100,97,98,0.9897959183673469,389167.0229612198,30914,190,1111,0.18723369243750923
190080,80,83,0.963855421686747,286436.7752928147,31334,192,1111,0.18679588986957782
192060,117,120,0.975,498469.9349574037,31634,192,1111,0.185681955167139
194040,126,129,0.9767441860465116,533474.3898155196,31988,192,1111,0.18447742578240076
196020,96,97,0.9896907216494846,386739.37616178486,32292,192,1111,0.18353923251068519
198000,127,133,0.9548872180451128,548950.1791909402,32518,193,1111,0.18252179286475548
199980,92,94,0.9787234042553191,328596.12153553404,33215,194,1111,0.18239170172582728
201960,128,131,0.9770992366412213,539814.0094623724,33500,194,1111,0.1817959885414257
203940,130,133,0.9774436090225563,551885.9831209853,33775,194,1111,0.1810512126139563
205920,82,86,0.9534883720930233,320917.4341322556,34194,195,1111,0.18057173633624143
207900,120,121,0.9917355371900827,483271.2867825888,34574,195,1111,0.18004103092939097
209880,112,114,0.9824561403508771,451381.66704747453,34980,195,1111,0.17977847524713989
211860,91,92,0.9891304347826086,306302.12190194614,35687,195,1111,0.1795426934269149
213840,124,125,0.992,510880.37497359887,36012,195,1111,0.1793111048880614
215820,93,94,0.9893617021276596,374588.4533337299,36272,196,1111,0.17905844523447254
217800,90,92,0.9782608695652174,350391.2882540915,36602,197,1111,0.17894919824274808
219780,138,140,0.9857142857142858,596386.5478508305,36810,197,1111,0.1781282123562931
