epoch,success_count,reset_count,success_rate,reward,collsion,outtime,first_success,angle_error
1980,0,3,0.0,-161616.12814438358,59,3,0,0.20468831033898832
3960,0,4,0.0,-59924.96701014205,123,7,0,0.23162702290668363
5940,0,4,0.0,-50312.78703941018,231,11,0,0.20810834120094762
7920,0,4,0.0,-77855.96838417818,286,15,0,0.19461489445716695
9900,0,4,0.0,-79639.422192914,356,19,0,0.19574327819641876
11880,0,4,0.0,-74244.4274511644,369,23,0,0.19605200041093282
13860,1,4,0.25,-38705.845229749044,409,26,12414,0.20767198246414628
15840,0,5,0.0,-41686.91915417556,571,29,12414,0.19956857374309137
17820,1,5,0.2,-29573.44522198348,643,33,12414,0.1884406937458393
19800,1,6,0.16666666666666666,-56598.399998151115,735,36,12414,0.18978349947107534
21780,0,4,0.0,-32040.30586366402,745,40,12414,0.18702647663630276
23760,0,5,0.0,-35638.830556932255,880,44,12414,0.18270472485253114
25740,0,4,0.0,-86760.48193619354,1051,48,12414,0.2005744387879877
27720,3,5,0.6,-1651.3304323931225,1134,50,12414,0.2066787537860896
29700,3,6,0.5,7030.0285004419275,1212,52,12414,0.1963555229214589
31680,5,7,0.7142857142857143,29198.74437921343,1273,54,12414,0.1926264274144328
33660,3,7,0.42857142857142855,19049.734447097057,1296,57,12414,0.1895747440156087
35640,1,4,0.25,-3600.5726701413514,1408,60,12414,0.1899271082655086
37620,2,9,0.2222222222222222,16995.36643416062,1499,64,12414,0.19818006415610612
39600,5,8,0.625,3564.279642298701,1764,66,12414,0.19563374714462822
41580,5,7,0.7142857142857143,36623.8482772999,1813,68,12414,0.19446975988828238
43560,18,18,1.0,206197.5655679084,1976,68,12414,0.181853742470531
45540,3,7,0.42857142857142855,14733.009837048885,2074,70,12414,0.17880071724067567
47520,11,14,0.7857142857142857,85855.06912209763,2267,72,12414,0.16980714106307443
49500,0,4,0.0,-50089.07732825109,2487,76,12414,0.1695201177791857
51480,4,8,0.5,25538.631775398855,2666,79,12414,0.16572532213792635
53460,18,24,0.75,186524.5792674018,2961,80,12414,0.1608930477785825
55440,16,18,0.8888888888888888,171163.06807719808,3083,81,12414,0.15405230671050846
57420,17,20,0.85,191841.7173223896,3166,83,12414,0.1462816906913167
59400,25,28,0.8928571428571429,275188.19872514805,3478,83,12414,0.13907390653916285
61380,12,13,0.9230769230769231,65069.60831331537,3865,85,12414,0.1366667053701618
63360,4,10,0.4,-27073.049401352066,4152,88,12414,0.13610666202925567
65340,17,21,0.8095238095238095,140155.82335781667,4318,90,12414,0.13750324695749291
67320,10,12,0.8333333333333334,61989.960177347064,4419,92,12414,0.13701407536169127
69300,1,6,0.16666666666666666,-16833.13688697305,4481,96,12414,0.13605573685356454
71280,6,11,0.5454545454545454,40118.144254658604,4582,98,12414,0.13552057000292816
73260,8,10,0.8,28622.080333106802,4706,99,12414,0.1369768712825736
75240,19,22,0.8636363636363636,193177.97018216178,4809,99,12414,0.13508766970748184
77220,18,21,0.8571428571428571,182285.12457647128,5009,100,12414,0.13224104645612103
79200,6,10,0.6,12030.377069955459,5311,102,12414,0.13120987628050249
81180,4,8,0.5,-4213.483890408184,5428,106,12414,0.13175075193577887
83160,16,21,0.7619047619047619,163137.3489328008,5634,107,12414,0.13184065018169308
85140,19,21,0.9047619047619048,184468.04830911453,5903,107,12414,0.1331347419528645
87120,19,26,0.7307692307692307,174558.2809118384,6227,109,12414,0.13391822252704225
89100,9,13,0.6923076923076923,71122.91675981437,6299,112,12414,0.13454730050637884
91080,24,29,0.8275862068965517,287355.889325988,6458,113,12414,0.1346130823080226
93060,24,28,0.8571428571428571,266771.60273760837,6693,113,12414,0.13471809935619972
95040,22,28,0.7857142857142857,247272.65462196898,7216,114,12414,0.13490560281236874
97020,19,22,0.8636363636363636,176362.96010397328,7519,116,12414,0.1346269397075987
99000,30,38,0.7894736842105263,332799.2814068678,8116,116,12414,0.1346195599244472
100980,26,34,0.7647058823529411,297309.9808816309,8394,117,12414,0.13406607110299723
102960,42,47,0.8936170212765957,490176.172927008,8855,117,12414,0.13272667119038226
104940,47,52,0.9038461538461539,597064.2848592633,9310,117,12414,0.13156004252335154
106920,52,57,0.9122807017543859,671346.7412659861,9762,117,12414,0.13072418840136169
108900,55,58,0.9482758620689655,705835.3028822606,10120,117,12414,0.1281158369245006
110880,50,53,0.9433962264150944,656837.0133777643,10639,117,12414,0.12680141746003862
112860,54,57,0.9473684210526315,726078.7983156107,11029,117,12414,0.12510923360652426
114840,48,52,0.9230769230769231,649480.8994706497,11315,117,12414,0.12378048060414926
116820,58,61,0.9508196721311475,796743.168660853,11633,117,12414,0.12175023223099264
118800,57,63,0.9047619047619048,758079.5157774296,11990,117,12414,0.12044095785279506
120780,56,58,0.9655172413793104,748213.8417440988,12452,117,12414,0.11927177393046637
122760,62,64,0.96875,849632.4758532755,12825,117,12414,0.11774774422790038
124740,57,59,0.9661016949152542,751934.0265271459,13316,117,12414,0.11678593205979852
126720,62,63,0.9841269841269841,819456.8445623387,13685,117,12414,0.11524555259135583
128700,61,62,0.9838709677419355,820093.8752655685,14046,117,12414,0.11344511205846362
130680,66,66,1.0,885370.8774841949,14355,117,12414,0.11173924543523596
132660,63,63,1.0,845076.877740154,14681,117,12414,0.1105249260187531
134640,56,57,0.9824561403508771,739804.6564658452,15145,117,12414,0.10975133517915156
136620,65,65,1.0,884774.4640894681,15419,117,12414,0.10858059728014977
138600,64,65,0.9846153846153847,852067.6655042302,15747,117,12414,0.10738947813967886
140580,53,56,0.9464285714285714,683624.2023761608,16278,117,12414,0.10663032794782015
142560,65,66,0.9848484848484849,892812.678019274,16611,117,12414,0.10542432805309444
144540,62,67,0.9253731343283582,854131.411432337,16939,117,12414,0.10421222986362554
146520,59,64,0.921875,796795.4939880073,17359,117,12414,0.10332554530631864
148500,51,52,0.9807692307692307,697206.1642692015,17944,118,12414,0.10238699349317079
150480,63,66,0.9545454545454546,845791.7641333081,18278,118,12414,0.10158475881387463
152460,62,65,0.9538461538461539,845459.3760668375,18613,118,12414,0.10076748791431482
154440,66,68,0.9705882352941176,893396.1946501695,18868,118,12414,0.09966915167526266
