epoch,success_count,reset_count,success_rate,reward,collsion,outtime,first_success,angle_error
1980,0,3,0.0,-211206.2417629578,411,3,0,0.0
3960,0,4,0.0,-72619.6904193449,426,7,0,0.012714795014871813
5940,0,4,0.0,-51050.700313162,427,11,0,0.14678268658913415
7920,0,4,0.0,-75121.83230021829,660,15,0,0.3354178066561673
9900,0,4,0.0,-125150.1291496433,1286,19,0,0.5310354114442902
11880,0,4,0.0,-95360.10828850092,1658,23,0,0.6505029982611901
13860,0,4,0.0,-48917.52882012003,1678,27,0,0.6048266637666733
15840,0,4,0.0,-49785.90741927328,1686,31,0,0.6048266637666733
17820,0,4,0.0,-74020.84817704116,1792,35,0,0.582569591368501
19800,0,4,0.0,-103134.36965134041,3105,39,0,0.5939284208260727
21780,1,5,0.2,-89110.86372350936,3633,43,21769,0.6055831544184953
23760,0,3,0.0,-50437.631476237904,3667,46,21769,0.5941977716567537
25740,0,4,0.0,-74334.33662109543,3703,50,21769,0.6017395542624469
27720,0,4,0.0,-81551.74498136924,3740,54,21769,0.5852309594341047
29700,0,4,0.0,-49137.92236731434,3743,58,21769,0.5785401706959251
31680,0,4,0.0,-58365.845716155134,3946,62,21769,0.5550644716298444
33660,0,4,0.0,-46516.58878665627,3946,66,21769,0.5503688017799011
35640,0,4,0.0,-42585.038449545624,3948,70,21769,0.5449658272901096
37620,1,4,0.25,-38014.95765193598,3996,73,21769,0.5054725080190701
39600,0,4,0.0,-87999.97604525113,4729,77,21769,0.4934068941048001
41580,1,4,0.25,-58230.753640859155,5030,80,21769,0.4937272662500871
43560,0,4,0.0,-116278.3699299302,6200,84,21769,0.5122240042766057
45540,0,4,0.0,-127513.86838162434,6959,88,21769,0.5266080901681601
47520,0,4,0.0,-96722.90621480811,7082,92,21769,0.5266080901681601
49500,0,4,0.0,-69737.65801229165,7082,96,21769,0.5266080901681601
51480,0,4,0.0,-43496.28653376107,7119,100,21769,0.5206571642433299
53460,1,5,0.2,-53775.806535140844,7247,104,21769,0.49882802893890005
55440,1,4,0.25,-41165.23549888539,7282,107,21769,0.495453416602067
57420,0,4,0.0,-44703.533038164955,7341,111,21769,0.4824759659479916
59400,0,4,0.0,-76084.35576805053,7555,115,21769,0.47409782669004424
61380,0,4,0.0,-69376.86103470717,8009,118,21769,0.465241653870679
63360,0,4,0.0,-87272.10495940736,8653,122,21769,0.47141149434513796
65340,0,4,0.0,-45438.809080813546,8670,126,21769,0.47141149434513796
67320,0,4,0.0,-44377.54535804596,8674,130,21769,0.47069095941933714
69300,0,4,0.0,-43000.45909424499,8839,134,21769,0.4707311244763101
71280,0,4,0.0,-98904.73066054424,9731,138,21769,0.470776170353745
73260,0,4,0.0,-79823.03820349555,9980,142,21769,0.47516213319482226
75240,0,4,0.0,-44375.93871541321,9980,146,21769,0.47516213319482226
77220,0,4,0.0,-49534.21239453694,10031,150,21769,0.470323623933129
79200,2,5,0.4,-30631.926562580746,10062,153,21769,0.4620025236677864
81180,2,6,0.3333333333333333,-27149.517568243202,10074,156,21769,0.4513485335105602
83160,0,4,0.0,-50492.62714719027,10231,160,21769,0.4410542222523116
85140,0,4,0.0,-39012.24082901096,10461,164,21769,0.438140408656727
87120,3,6,0.5,-27921.113177502528,10465,167,21769,0.42518052527520445
89100,1,4,0.25,-35252.66452349955,10473,170,21769,0.4200306998345045
91080,3,7,0.42857142857142855,-24696.749564744998,10477,174,21769,0.4099457136540116
93060,0,4,0.0,-45544.62064974243,10481,178,21769,0.405301162452261
95040,0,4,0.0,-45739.140608296264,10483,182,21769,0.40082759217934866
97020,0,4,0.0,-46880.78909594286,10510,186,21769,0.40006873301913376
99000,0,4,0.0,-136637.5182059761,11425,190,21769,0.40006873301913376
100980,0,4,0.0,-44788.12807170674,11479,194,21769,0.4086040936970863
102960,0,4,0.0,-43416.838332748506,11537,198,21769,0.4079160177916823
104940,4,7,0.5714285714285714,-32769.40196059318,11809,200,21769,0.39800470671330773
106920,0,4,0.0,-102893.0158993788,12700,204,21769,0.3946546458775981
108900,0,4,0.0,-39000.06728725461,12732,208,21769,0.3925134349322382
110880,0,4,0.0,-62020.528209662996,12766,212,21769,0.3925134349322382
112860,0,4,0.0,-44845.50331941014,12774,216,21769,0.39212142488942014
114840,0,4,0.0,-42880.90717225475,12781,220,21769,0.39061328035025694
116820,2,5,0.4,-33732.3995318003,12784,222,21769,0.387055316220541
118800,0,4,0.0,-39418.70823980635,12799,226,21769,0.3830953073319829
120780,2,6,0.3333333333333333,-38707.51780109992,12802,230,21769,0.37578653077132035
122760,2,6,0.3333333333333333,-64184.5264263819,12923,234,21769,0.36865703706971104
124740,1,4,0.25,-35443.657744161785,12967,238,21769,0.36357326834497583
126720,3,7,0.42857142857142855,-23092.804668141063,12976,241,21769,0.3535921693163892
128700,10,13,0.7692307692307693,4735.694360990543,12988,243,21769,0.3416677156732434
130680,18,20,0.9,34889.47911352618,13040,245,21769,0.32011990502798787
132660,9,12,0.75,-874.6248494936153,13262,248,21769,0.309543477360251
134640,18,19,0.9473684210526315,20951.33400398353,13452,249,21769,0.29615117522184187
136620,20,22,0.9090909090909091,49166.29538993817,13485,251,21769,0.286006147869164
138600,23,26,0.8846153846153846,54619.45709156385,13563,253,21769,0.2693310100648688
140580,1,4,0.25,-58464.35671429895,13722,256,21769,0.26744650589668717
142560,2,7,0.2857142857142857,-42679.743987835944,13981,260,21769,0.2646768138917432
144540,0,3,0.0,-88166.44100057613,15274,263,21769,0.264497755431746
146520,4,8,0.5,-19143.12886279775,15607,267,21769,0.2620677987725568
148500,40,41,0.975609756097561,122583.09503469942,15678,267,21769,0.2497777113663844
150480,22,28,0.7857142857142857,44007.330441720784,15730,271,21769,0.23898385383772724
152460,47,48,0.9791666666666666,147310.33533618413,16257,272,21769,0.22628490873348325
154440,10,13,0.7692307692307693,-40771.4077655701,16866,275,21769,0.22324335249981167
156420,14,17,0.8235294117647058,24374.750679708086,16992,278,21769,0.2193671972232532
158400,22,24,0.9166666666666666,60124.19446313055,17008,280,21769,0.21674263036449015
160380,66,68,0.9705882352941176,235458.92850746075,17196,281,21769,0.2231515741641336
162360,28,30,0.9333333333333333,61218.20456530247,18092,282,21769,0.22367737163264328
