epoch,success_count,reset_count,success_rate,reward,collsion,outtime,first_success,angle_error
1980,0,3,0.0,-193492.7781225899,97,3,0,0.19140486660356912
3960,0,4,0.0,-84395.2601411719,295,7,0,0.367207238572233
5940,0,4,0.0,-46363.06213566003,300,11,0,0.3016507794209709
7920,0,4,0.0,-43873.56379067816,301,15,0,0.272596804653877
9900,0,4,0.0,-109648.50963165564,308,19,0,0.32368351177525895
11880,1,4,0.25,-51176.984754462086,443,22,9918,0.280779958577672
13860,0,4,0.0,-48973.059936478385,486,26,9918,0.2710824044811379
15840,0,4,0.0,-43632.243865460274,504,30,9918,0.25464371381943274
17820,0,4,0.0,-79194.86395683268,518,34,9918,0.23624421859676384
19800,0,4,0.0,-84302.03743115219,519,38,9918,0.2324190212471204
21780,0,4,0.0,-50508.45663123333,531,42,9918,0.2324190212471204
23760,1,5,0.2,-36037.22407404345,581,46,9918,0.19697768362001983
25740,0,4,0.0,-57633.30371785199,688,50,9918,0.21753436672293994
27720,0,4,0.0,-51420.32719284517,742,54,9918,0.21112686012027546
29700,0,4,0.0,-73885.5950483901,1360,58,9918,0.28643171894105734
31680,0,4,0.0,-87064.69653947209,1985,62,9918,0.34944358311225415
33660,0,4,0.0,-47864.331713992404,2012,66,9918,0.34705956359499285
35640,0,4,0.0,-48374.9995627224,2070,70,9918,0.33429754154691815
37620,0,4,0.0,-47283.53158195852,2072,74,9918,0.3430199104311607
39600,0,4,0.0,-65645.92272202298,2087,78,9918,0.34251164700244324
41580,0,4,0.0,-42012.10201478633,2106,82,9918,0.32663749236143563
43560,0,3,0.0,-46383.254809134174,2114,85,9918,0.3237957494791772
45540,1,5,0.2,-70504.80546023534,2712,89,9918,0.3090574703559489
47520,0,4,0.0,-75675.05148900114,2911,93,9918,0.319207010021897
49500,0,4,0.0,-43283.39273942588,2917,97,9918,0.31364643491959165
51480,0,4,0.0,-64495.30698589748,2927,101,9918,0.3103544987470903
53460,0,4,0.0,-59993.15448959358,2967,105,9918,0.3103544987470903
55440,0,4,0.0,-45905.72748937574,2967,109,9918,0.3103544987470903
57420,0,4,0.0,-48156.70343786222,3005,113,9918,0.30857789907101507
59400,0,4,0.0,-43464.963375956984,3029,117,9918,0.3046215669490232
61380,0,4,0.0,-45570.22476697853,3031,121,9918,0.29957300855411406
63360,0,4,0.0,-88263.69517489895,3135,125,9918,0.29925078120940185
65340,0,4,0.0,-46481.16477333405,3135,129,9918,0.29437968225208944
67320,0,4,0.0,-90608.80285615986,3780,133,9918,0.3332652567305833
69300,0,4,0.0,-58468.89312501578,3865,137,9918,0.3379896854285718
71280,0,4,0.0,-41727.31217511138,3865,141,9918,0.3330833597152663
73260,0,4,0.0,-54091.48492864566,4005,145,9918,0.3284051129436972
75240,0,4,0.0,-41670.63721028995,4011,149,9918,0.32542323773718645
77220,0,4,0.0,-43011.534617436584,4044,153,9918,0.3203860917276768
79200,0,3,0.0,-91063.48262444558,4577,156,9918,0.33205463126067325
81180,0,4,0.0,-99311.93704441609,5377,160,9918,0.3323626642399802
83160,0,4,0.0,-55585.56108648749,5603,164,9918,0.331218092761384
85140,0,4,0.0,-43530.24276056653,5604,168,9918,0.32898938086113033
87120,0,4,0.0,-43655.085972596426,5638,172,9918,0.3233835296409257
89100,0,4,0.0,-42708.952205370646,5643,176,9918,0.3233835296409257
91080,0,4,0.0,-42180.97096969606,5644,180,9918,0.31970709490235816
93060,0,4,0.0,-37849.11324502388,5647,184,9918,0.3101047293603456
95040,0,4,0.0,-58230.20733110048,5648,188,9918,0.3088448992577671
97020,1,4,0.25,-38715.75767037179,5694,191,9918,0.30194241821477963
99000,0,4,0.0,-43939.63171370095,5737,195,9918,0.29746815944607913
100980,1,5,0.2,-39695.04088573344,5846,199,9918,0.28931857653930154
102960,0,5,0.0,-37065.71560424846,5846,203,9918,0.2865500033427965
104940,0,4,0.0,-37105.5530502405,5847,207,9918,0.2845965028393309
106920,0,4,0.0,-56348.71500972938,6292,211,9918,0.3019624931502678
108900,0,3,0.0,-55215.099231448025,6993,214,9918,0.31927516766796793
110880,0,4,0.0,-59817.97611643886,7540,218,9918,0.3508495468365918
112860,1,5,0.2,-43193.14004623704,7739,222,9918,0.35909268902875824
114840,1,5,0.2,-41026.464929156005,7830,226,9918,0.37150643820595336
116820,0,4,0.0,-43469.90398257878,7831,230,9918,0.3790347061771764
118800,0,4,0.0,-53762.01381185185,7930,234,9918,0.37157995835515784
120780,0,4,0.0,-41941.61035203794,7934,238,9918,0.3665469990980617
122760,3,6,0.5,-27568.51065839175,7968,241,9918,0.35391562111749764
124740,1,5,0.2,-43386.568575306796,8081,244,9918,0.3518504812128304
126720,3,7,0.42857142857142855,-25089.521608211566,8086,247,9918,0.34247974773576273
128700,0,4,0.0,-38570.45925274305,8118,251,9918,0.33878867090724685
130680,0,4,0.0,-40721.18375714123,8131,255,9918,0.33642487595417464
132660,0,4,0.0,-63332.2044846653,8314,259,9918,0.33484115617549
134640,1,4,0.25,-37547.413222603966,8324,262,9918,0.3306331050663834
136620,0,4,0.0,-40913.13700401457,8326,266,9918,0.32888964347098204
138600,0,4,0.0,-55471.76648043422,8484,270,9918,0.32751589173993007
140580,0,4,0.0,-56486.768713732716,8658,274,9918,0.3245884083513743
142560,0,4,0.0,-38977.25424224045,8663,278,9918,0.32248510646223116
144540,0,4,0.0,-51600.37830929691,8712,282,9918,0.32430773418302566
146520,0,4,0.0,-50715.95825198898,8714,286,9918,0.323568723377262
148500,1,5,0.2,-40891.812923254445,8758,290,9918,0.3203037305158141
150480,0,4,0.0,-66983.92708532978,9080,294,9918,0.3191281340343222
152460,0,4,0.0,-47415.12715627346,9115,298,9918,0.3167118951342645
154440,0,4,0.0,-38140.21498321742,9127,302,9918,0.31762918269491364
156420,1,4,0.25,-34656.85943841189,9128,305,9918,0.315622794370229
158400,1,4,0.25,-33573.313818422146,9129,308,9918,0.31517203993963855
160380,0,4,0.0,-36435.00740784127,9138,312,9918,0.31533809703755517
162360,0,4,0.0,-36074.42966482323,9151,316,9918,0.31520919167379546
164340,0,5,0.0,-36314.806713664904,9205,320,9918,0.3133990516123814
166320,0,4,0.0,-37855.21791444812,9225,324,9918,0.31085507333260215
168300,1,5,0.2,-33693.51314140018,9232,328,9918,0.3059746946083464
170280,0,4,0.0,-43201.62102931738,9284,332,9918,0.30456847062708803
172260,0,3,0.0,-52504.57308846712,9425,335,9918,0.3030395994899309
174240,0,4,0.0,-40540.68314950075,9646,339,9918,0.30002260279481063
176220,0,4,0.0,-50112.27033055201,10308,343,9918,0.30115981556119054
178200,0,4,0.0,-73518.28467764612,11711,347,9918,0.32055376994039925
180180,0,4,0.0,-79261.41030540131,12580,351,9918,0.3183488423900772
182160,0,4,0.0,-49409.126749022864,12721,355,9918,0.314325874428534
184140,0,4,0.0,-41838.59536422044,12722,359,9918,0.3137538944173219
186120,0,4,0.0,-45189.91840373725,12722,363,9918,0.3137538944173219
188100,0,4,0.0,-50240.187918056734,12727,367,9918,0.32071695545757206
190080,0,4,0.0,-44552.53192938864,12826,371,9918,0.31948210995187665
192060,0,4,0.0,-36636.97317093983,12830,375,9918,0.31841646186140327
194040,3,7,0.42857142857142855,-40910.96317607071,13044,379,9918,0.3271085532402186
196020,0,5,0.0,-51830.37849314138,13160,383,9918,0.3292528848660958
198000,1,4,0.25,-36533.5931623932,13174,386,9918,0.33079548381486906
199980,0,4,0.0,-52464.46030302625,13212,390,9918,0.3316078422513735
201960,0,4,0.0,-44607.15241932403,13213,394,9918,0.3296905822992009
203940,3,7,0.42857142857142855,-25838.046395452693,13225,398,9918,0.32655697913778065
205920,0,4,0.0,-40432.48660645913,13251,402,9918,0.32471579642219456
207900,0,3,0.0,-45754.18984761648,13328,405,9918,0.32387415016032095
209880,0,4,0.0,-42884.6171110468,13330,409,9918,0.32246210741795556
211860,0,5,0.0,-39858.47135493439,13330,413,9918,0.3221862668830334
213840,0,4,0.0,-44317.272931019776,13335,417,9918,0.3217610862799633
215820,1,6,0.16666666666666666,-41652.20486887731,13436,421,9918,0.3201508130773646
217800,0,4,0.0,-38853.800116526894,13458,425,9918,0.3198428439743908
219780,1,5,0.2,-36167.480625221506,13487,429,9918,0.31742062434399837
