epoch,success_count,reset_count,success_rate,reward,collsion,outtime,first_success,angle_error
1980,0,3,0.0,-194153.0172894431,26,3,0,0.5144809285339095
3960,0,4,0.0,-222488.74176607074,98,7,0,0.8691004914764217
5940,0,4,0.0,-156711.97211454652,142,11,0,0.8691004914764217
7920,0,4,0.0,-136746.33563227742,204,15,0,1.0449232651347107
9900,0,4,0.0,-170989.0592645543,350,19,0,1.0805639153124522
11880,0,4,0.0,-171841.8731975871,672,23,0,1.1022066154391297
13860,0,4,0.0,-160293.77591429302,757,27,0,0.9299752605685279
15840,0,4,0.0,-150097.41457077116,757,31,0,0.9299752605685279
17820,0,4,0.0,-108782.05529544177,771,35,0,0.9299752605685279
19800,0,4,0.0,-112111.25956177432,781,39,0,0.9299752605685279
21780,0,4,0.0,-65584.68149333191,782,43,0,0.9299752605685279
23760,0,4,0.0,-95236.17695708736,852,47,0,0.8435401383819288
25740,0,4,0.0,-110972.72510506003,958,51,0,0.806179335644999
27720,0,4,0.0,-124075.08859261614,989,55,0,0.806179335644999
29700,0,4,0.0,-117488.9043781783,1340,59,0,1.0465242963491577
31680,0,4,0.0,-80485.19535655156,1391,63,0,1.014264289716626
33660,0,4,0.0,-106139.71936101466,1484,67,0,1.0837767122038726
35640,0,4,0.0,-87310.34858792648,1507,71,0,0.9612155998446511
37620,0,4,0.0,-83596.04280309565,1689,75,0,0.995000712762058
39600,0,4,0.0,-108285.3871094049,2107,79,0,0.9069847904106576
41580,0,3,0.0,-88042.79372518463,2247,82,0,0.9254845917270276
43560,0,4,0.0,-138409.61344359955,2710,86,0,0.9074616962795254
45540,0,4,0.0,-74680.50910280831,2919,90,0,0.9039541890871101
47520,0,4,0.0,-61405.709889502265,3086,94,0,0.8832320338038342
49500,0,4,0.0,-95114.6814021105,3090,98,0,0.8832320338038342
51480,0,4,0.0,-93094.93154302612,3476,102,0,0.8796811349333249
53460,0,4,0.0,-116250.70361705357,3654,106,0,0.8624446419020917
55440,0,4,0.0,-88619.85066502448,4697,110,0,0.870635545057021
57420,0,4,0.0,-119586.1293363031,4725,114,0,0.8691958495371385
59400,0,4,0.0,-126089.21041965904,4796,118,0,0.8691958495371385
61380,0,4,0.0,-98625.9655330563,5089,122,0,0.8968813100319115
63360,0,4,0.0,-109100.06356455572,5753,126,0,0.9127332355491096
65340,0,4,0.0,-97884.53816463938,6717,130,0,0.8966818320079606
67320,0,4,0.0,-109946.7348768413,7730,133,0,0.8735398761183014
69300,0,4,0.0,-99241.16384072136,8303,137,0,0.8846284610922243
71280,0,4,0.0,-69533.02218791842,8765,141,0,0.8846284610922243
73260,0,4,0.0,-76657.68538088445,8876,145,0,0.8714335518768092
75240,0,4,0.0,-70316.28474479448,8984,149,0,0.8714335518768092
77220,0,4,0.0,-106690.06501385011,9463,153,0,0.8527168749618107
79200,0,4,0.0,-93023.44031531643,9972,157,0,0.8503330062471249
81180,0,4,0.0,-77708.14458752051,10756,161,0,0.8503330062471249
