epoch,success_count,reset_count,success_rate,reward,collsion,outtime,first_success,angle_error
1980,0,3,0.0,-237071.9614023107,124,3,0,0.13191225329915843
3960,0,4,0.0,-93180.76895886107,515,7,0,0.13191225329915843
5940,0,4,0.0,-61295.73431893217,515,11,0,0.13191225329915843
7920,0,4,0.0,-59894.44207585929,515,15,0,0.13191225329915843
9900,0,4,0.0,-49414.556959014095,515,19,0,0.13191225329915843
11880,0,4,0.0,-45445.17092223762,515,23,0,0.10876342474443218
13860,0,4,0.0,-43755.916751519544,519,27,0,0.10876342474443218
15840,0,4,0.0,-56387.05292913399,527,31,0,0.09072848140502944
17820,0,4,0.0,-45336.57343512098,531,35,0,0.09220354652113126
19800,0,4,0.0,-59528.346012431546,595,39,0,0.08155048359471927
21780,0,4,0.0,-86789.7272317321,683,43,0,0.0747731581736426
23760,0,4,0.0,-100358.13544314937,971,47,0,0.07683269974235303
25740,0,4,0.0,-46756.933024314,1036,51,0,0.07640920426681765
27720,0,4,0.0,-68909.00379112805,1112,55,0,0.06853114320040962
29700,0,4,0.0,-47510.532422872726,1113,59,0,0.06608275003999624
31680,0,4,0.0,-39244.724729334936,1115,63,0,0.06181111763197851
33660,0,4,0.0,-45609.00468280632,1116,67,0,0.05779565203696376
35640,0,4,0.0,-72191.71373702516,1129,71,0,0.05267446746325352
37620,0,4,0.0,-149961.34240138647,1218,75,0,0.06429549295711827
39600,0,4,0.0,-67373.12099581072,1578,79,0,0.06541056449022299
41580,0,3,0.0,-42963.282894294476,1578,82,0,0.06733136940484391
43560,0,4,0.0,-59824.25859864312,1585,86,0,0.06560539789271509
45540,0,4,0.0,-43413.093784231925,1597,90,0,0.06543460976499932
47520,0,4,0.0,-65188.93576296209,1819,94,0,0.06416803650937637
49500,0,4,0.0,-44274.921652769204,1872,98,0,0.06855927712490242
51480,0,4,0.0,-42552.10289004445,1919,102,0,0.07600919596608342
53460,0,4,0.0,-39565.22467788542,1926,106,0,0.07370651094636337
55440,0,4,0.0,-38688.02437382238,1932,110,0,0.0713138114568413
57420,0,4,0.0,-42323.17774520884,1938,114,0,0.0692935311711894
59400,0,4,0.0,-42850.90497431951,1940,118,0,0.06968843603425244
61380,1,5,0.2,-45454.50530525902,2115,122,60681,0.07078698142015127
63360,0,4,0.0,-66517.40438551456,2117,126,60681,0.07521046364762823
65340,5,8,0.625,-18072.6093280029,2162,129,60681,0.10008580046543634
67320,7,10,0.7,-7798.344697210239,2290,131,60681,0.12299911501292733
69300,1,4,0.25,-49609.48283659574,2441,134,60681,0.12340816337036414
71280,0,4,0.0,-36787.06606791075,2466,138,60681,0.12096103295588992
73260,2,6,0.3333333333333333,-25222.354432427324,2482,142,60681,0.1194605019736668
75240,4,7,0.5714285714285714,-14604.688271456864,2489,145,60681,0.12084710436006643
77220,2,5,0.4,-23808.13828516286,2497,148,60681,0.12037801052244058
79200,40,41,0.975609756097561,141088.4677066654,2615,149,60681,0.13794741900288818
81180,56,64,0.875,210601.4475934517,2813,149,60681,0.13720722195680185
83160,66,69,0.9565217391304348,232316.84938100935,3139,149,60681,0.13319213034780156
85140,5,8,0.625,-29660.019587513292,3241,152,60681,0.13345606967723161
87120,8,12,0.6666666666666666,-7664.753131915582,3253,155,60681,0.13413169586854967
89100,0,4,0.0,-42536.448186386144,3333,159,60681,0.13381029570266542
91080,32,33,0.9696969696969697,90240.97154384316,3498,160,60681,0.13504066427688835
93060,25,27,0.9259259259259259,56357.68392496952,3727,162,60681,0.13478637274639718
95040,39,40,0.975,112964.31575814751,3962,162,60681,0.13843284143628837
97020,23,27,0.8518518518518519,49531.924928437686,4356,164,60681,0.14259002895813874
99000,13,17,0.7647058823529411,-18932.19622421637,4618,167,60681,0.1406119808866683
100980,5,7,0.7142857142857143,-62830.51740719052,4781,169,60681,0.14062211596052218
