epoch,success_count,reset_count,success_rate,reward,collsion,outtime,first_success,angle_error
1980,0,3,0.0,-222742.8069511982,80,3,0,0.8655520937219905
3960,0,4,0.0,-85944.218683718,80,7,0,0.8655520937219905
5940,0,4,0.0,-54588.70388456981,82,11,0,0.5455105356953526
7920,0,4,0.0,-49628.600715051405,82,15,0,0.4838642829499572
9900,0,4,0.0,-67583.71918828646,95,19,0,0.2513911017728416
11880,0,4,0.0,-72667.01761985925,191,23,0,0.21389119021914255
13860,0,4,0.0,-88918.09190919658,520,27,0,0.2070472455379391
15840,0,4,0.0,-124241.92365056137,574,31,0,0.2580355579693923
17820,0,4,0.0,-152016.20778579684,1605,35,0,0.3518335341956283
19800,0,4,0.0,-91824.47328624851,2179,39,0,0.37837729689903155
21780,0,4,0.0,-175542.6202692918,3280,43,0,0.47339142743823115
23760,0,4,0.0,-98526.06942610745,3559,47,0,0.43140727576165605
25740,1,5,0.2,-57069.421506433515,3685,51,25611,0.39333031090080534
27720,6,8,0.75,-18825.161598184146,3861,52,25611,0.33816912048980063
29700,11,13,0.8461538461538461,4477.3479218587745,3929,53,25611,0.27277231058344614
31680,22,24,0.9166666666666666,52559.72231821343,4299,53,25611,0.2176141910267705
33660,8,11,0.7272727272727273,-12024.963798463345,4442,55,25611,0.21040170580869016
35640,0,4,0.0,-111078.53365651029,5849,59,25611,0.23890032434375005
37620,0,4,0.0,-77913.52997832815,6543,63,25611,0.2506059120572317
39600,1,6,0.16666666666666666,-63604.73485036474,6551,67,25611,0.2470741487024428
41580,2,5,0.4,-43043.511665465776,6582,70,25611,0.24342026992998497
43560,31,36,0.8611111111111112,98463.84314351436,6657,71,25611,0.219930106189108
45540,34,39,0.8717948717948718,101398.0911755194,6901,72,25611,0.19620656511399776
47520,46,51,0.9019607843137255,171159.58322256547,6998,72,25611,0.17873995598438572
49500,56,60,0.9333333333333333,204819.3486436596,7094,72,25611,0.16662220348831247
51480,40,43,0.9302325581395349,110760.18825734302,7728,72,25611,0.16475267845678623
53460,4,7,0.5714285714285714,-36414.69944967714,8122,75,25611,0.16966637779962257
55440,48,53,0.9056603773584906,163207.28315925016,8260,76,25611,0.1627726084089571
57420,49,51,0.9607843137254902,171689.98675155942,8514,76,25611,0.15732010642106817
59400,74,80,0.925,285119.4315573101,8755,76,25611,0.15217730395909562
61380,67,69,0.9710144927536232,219863.27473064564,9230,76,25611,0.14974478652786227
63360,36,38,0.9473684210526315,98118.69077304487,9392,78,25611,0.1503610065661218
65340,94,95,0.9894736842105263,357937.2497184475,9692,78,25611,0.14790679873276488
67320,90,92,0.9782608695652174,347226.1260717127,10189,78,25611,0.14696292313597537
69300,64,67,0.9552238805970149,187796.06086120917,11146,79,25611,0.14766048576460702
71280,62,63,0.9841269841269841,216032.189755177,11612,79,25611,0.14883739105926427
73260,82,86,0.9534883720930233,308425.90336054424,12080,79,25611,0.15053809732614373
75240,92,94,0.9787234042553191,349450.2432727583,12550,79,25611,0.1539894934893465
77220,69,72,0.9583333333333334,240649.20873604086,13126,79,25611,0.15573168992990635
79200,72,72,1.0,260071.86281140498,13451,79,25611,0.15664352115157698
81180,62,61,1.0163934426229508,209920.45682819048,13848,79,25611,0.15674853645071715
83160,34,37,0.918918918918919,99375.27316145645,14195,80,25611,0.1572172536501292
85140,92,95,0.968421052631579,338767.52220061887,14601,80,25611,0.1561549057984885
87120,57,65,0.8769230769230769,192403.8186412356,15129,80,25611,0.1554254536346129
89100,78,87,0.896551724137931,296706.2214714731,15535,81,25611,0.15563135792154853
91080,61,67,0.9104477611940298,213397.05491459928,16288,81,25611,0.15642968604144838
93060,70,77,0.9090909090909091,246713.6637328514,16734,81,25611,0.15668103798389904
95040,96,102,0.9411764705882353,364242.73658681894,17094,81,25611,0.15646836259051308
97020,119,120,0.9916666666666667,477451.46233513113,17449,81,25611,0.15509203641677421
99000,97,99,0.9797979797979798,385718.45686437376,18061,81,25611,0.1554237366495716
100980,125,127,0.984251968503937,512207.55842716154,18280,81,25611,0.15698084735083245
102960,106,112,0.9464285714285714,405736.0493649328,18695,81,25611,0.15800493998971318
104940,60,64,0.9375,132524.9389686454,18981,83,25611,0.15839409720706094
106920,118,119,0.9915966386554622,477622.56322285905,19317,83,25611,0.1582918598949773
108900,134,135,0.9925925925925926,546151.4213420087,19506,83,25611,0.15788079416858963
