epoch,success_count,reset_count,success_rate,reward,collsion,outtime,first_success,angle_error
1980,0,3,0.0,-143005.54094894847,48,3,0,0.261008102179165
3960,0,4,0.0,-67083.71723219036,94,7,0,0.13847592715711896
5940,2,5,0.4,-63903.612286769785,227,10,4644,0.1592813286644119
7920,0,4,0.0,-48496.02959495573,229,14,4644,0.14996565930705769
9900,0,4,0.0,-78486.49845265399,271,18,4644,0.16728243715714128
11880,0,4,0.0,-67135.78891533805,278,22,4644,0.16303270870264192
13860,0,4,0.0,-75081.69848358585,327,26,4644,0.16018044210699098
15840,0,4,0.0,-55630.51275339641,445,30,4644,0.15815099220847048
17820,0,4,0.0,-48375.76664297329,447,34,4644,0.15513049476476515
19800,0,4,0.0,-44997.38173424383,456,38,4644,0.1626113641648473
21780,0,4,0.0,-44399.087720492505,497,42,4644,0.16906789947983036
23760,0,4,0.0,-46550.57768828573,549,46,4644,0.166303195877887
25740,1,4,0.25,-37690.889485620195,640,49,4644,0.19872606934829845
27720,0,4,0.0,-43054.79397227487,651,53,4644,0.19399947541340762
29700,0,4,0.0,-41149.43748589454,706,57,4644,0.19778741380258086
31680,0,4,0.0,-47145.74628130719,785,61,4644,0.19552421862098973
33660,0,4,0.0,-40860.63283981907,800,65,4644,0.19435626076271292
35640,1,5,0.2,-35627.78716119204,899,69,4644,0.21957608085729988
37620,0,4,0.0,-54517.75693431869,1096,72,4644,0.22631671386180974
39600,0,5,0.0,-43168.32291792892,1146,76,4644,0.2232325237171134
41580,0,4,0.0,-75821.77253966569,1411,80,4644,0.2341810223064891
43560,1,4,0.25,-52391.09860094334,1413,83,4644,0.24290282098630786
45540,0,4,0.0,-44127.126050875755,1416,87,4644,0.24107578418500514
47520,1,5,0.2,-57563.04583696276,1536,91,4644,0.23330676673576384
49500,0,4,0.0,-67248.60230387514,1551,95,4644,0.23086552668963103
51480,0,4,0.0,-79403.51553152804,1551,99,4644,0.23086552668963103
53460,0,5,0.0,-46760.77577884961,1637,101,4644,0.24030207295877098
55440,2,5,0.4,-62758.53846110287,2018,104,4644,0.22646950473224353
57420,0,4,0.0,-43413.11987890117,2026,108,4644,0.22157215205854808
59400,1,4,0.25,-43874.88189234282,2108,111,4644,0.22095610039497554
61380,0,4,0.0,-50460.22475727252,2241,115,4644,0.22211899065476784
63360,2,5,0.4,-30368.2128968311,2288,118,4644,0.24078659965845073
65340,0,4,0.0,-52373.44994902401,2368,122,4644,0.23957013031606297
67320,0,4,0.0,-39551.98211982846,2529,126,4644,0.23634965866893148
69300,1,4,0.25,-42219.92411033274,2888,129,4644,0.2415282054613199
71280,1,5,0.2,-44567.11788442568,3224,133,4644,0.2428029938346918
73260,0,4,0.0,-45318.266878729686,3556,137,4644,0.2440913247293758
75240,4,7,0.5714285714285714,-24461.70265769679,3562,140,4644,0.2452688915596415
77220,3,7,0.42857142857142855,-26970.95904661715,3566,144,4644,0.24314942312999346
79200,2,4,0.5,-37235.65867629484,3584,146,4644,0.24560583701386618
81180,1,6,0.16666666666666666,-53004.23858607025,3765,150,4644,0.2443607315125901
83160,4,8,0.5,-41518.983207101,3877,154,4644,0.2410191120837218
85140,0,4,0.0,-47893.459347105585,3908,158,4644,0.23934095985580175
87120,1,5,0.2,-50661.89654483227,3910,162,4644,0.24075135971064582
89100,1,4,0.25,-40047.56515176641,3933,165,4644,0.24706831472838517
91080,4,7,0.5714285714285714,-41262.41120591154,4121,168,4644,0.26331332900066856
93060,2,6,0.3333333333333333,-43526.301857795566,4124,171,4644,0.2632246537997783
