epoch,success_count,reset_count,success_rate,reward,collsion,outtime,first_success,angle_error
1980,0,3,0.0,-254556.1769889974,149,3,0,0.5090597074817218
3960,0,4,0.0,-124696.25127432091,167,7,0,0.7350827988417908
5940,0,4,0.0,-123073.50970113272,337,11,0,0.27936705517205096
7920,0,4,0.0,-62222.017277492676,340,15,0,0.27147999793494537
9900,0,4,0.0,-78253.11670566257,515,19,0,0.23918835596447324
11880,0,4,0.0,-73407.35719392984,557,23,0,0.25252128255341416
13860,0,4,0.0,-104703.62973872304,651,27,0,0.25324615462184924
15840,0,4,0.0,-83332.05387094046,780,30,0,0.25979108159499326
17820,0,4,0.0,-106404.08236671018,975,34,0,0.279391663734548
19800,0,4,0.0,-71087.17113941268,1319,38,0,0.3209520437681242
21780,0,4,0.0,-44838.30588777899,1425,42,0,0.33664829424773746
23760,0,5,0.0,-59085.96268022829,1444,46,0,0.323906900839228
25740,0,5,0.0,-71104.4280916953,1513,50,0,0.30174760466648404
27720,0,4,0.0,-103560.11022011796,1541,54,0,0.29052564107547035
29700,0,4,0.0,-81992.43581497436,1598,58,0,0.2761313335352794
31680,0,5,0.0,-59267.012760842685,1703,62,0,0.2632133634635974
33660,1,4,0.25,-72247.25823664665,2044,65,33592,0.2473873708424164
35640,0,4,0.0,-73205.1710977559,2211,69,33592,0.25408146053422453
37620,1,4,0.25,-112232.84009427787,2313,72,33592,0.2583565958295881
39600,0,4,0.0,-112562.24042190076,2682,76,33592,0.25175433093408034
41580,1,5,0.2,-98633.7402927049,2959,79,33592,0.2616317288303716
43560,1,5,0.2,-98642.17663851031,3100,83,33592,0.25227889502590656
45540,2,5,0.4,-60502.72131590103,3239,86,33592,0.23877206499100562
47520,10,11,0.9090909090909091,-19773.08164856769,3551,86,33592,0.23229339837531054
49500,0,4,0.0,-96470.65853135101,3766,90,33592,0.23796241009932168
51480,0,4,0.0,-136113.71395584103,4505,94,33592,0.23617929390672773
53460,8,11,0.7272727272727273,-62588.09848980745,5202,95,33592,0.23812537714234117
55440,7,10,0.7,-62302.55384318484,5789,98,33592,0.2291800412557394
57420,11,12,0.9166666666666666,-51064.26274391962,6331,99,33592,0.22341310762722952
59400,17,20,0.85,-20541.737642615568,6691,100,33592,0.21164502479806632
61380,32,36,0.8888888888888888,52732.86997889588,7386,101,33592,0.20235313878283426
63360,20,26,0.7692307692307693,30783.687931798864,7682,102,33592,0.19965295874923078
65340,27,30,0.9,45355.467445347924,8202,103,33592,0.19408460912127048
67320,15,18,0.8333333333333334,-21122.100420419592,8462,104,33592,0.19080203266676596
69300,18,21,0.8571428571428571,-36646.97781591304,8667,106,33592,0.1856458051785819
71280,11,15,0.7333333333333333,-59933.88588261092,9470,110,33592,0.18205245645560297
73260,32,40,0.8,87538.87163359532,9896,111,33592,0.17831384926865035
75240,8,11,0.7272727272727273,-39898.1637852625,9921,113,33592,0.17731695135806322
77220,5,8,0.625,-106546.30108959833,10090,116,33592,0.17659742459213548
79200,15,17,0.8823529411764706,-15672.235301376786,10175,118,33592,0.1745118544756855
81180,5,8,0.625,-90439.89566591848,10229,121,33592,0.17399957281232914
83160,5,7,0.7142857142857143,-29815.691086069215,10248,123,33592,0.1736287742327217
