epoch,success_count,reset_count,success_rate,reward,collsion,outtime,first_success,angle_error
1980,0,3,0.0,-176571.5936109434,12,3,0,0.0
3960,1,5,0.2,-73883.5563997128,39,7,3945,0.4175806844612237
5940,0,3,0.0,-49671.91614182555,121,10,3945,0.3341848341702489
7920,0,4,0.0,-46422.060083610006,199,14,3945,0.33427490578043556
9900,0,4,0.0,-42196.40060019557,207,18,3945,0.3363940290854227
11880,1,5,0.2,-42048.2049861257,269,22,3945,0.35166575699624997
13860,0,4,0.0,-63667.91069815046,269,26,3945,0.3509040964828155
15840,0,4,0.0,-66421.74616916123,359,30,3945,0.3743714420748651
17820,1,4,0.25,-85205.48296635074,571,33,3945,0.41078837078371827
19800,0,4,0.0,-104174.86984214722,586,37,3945,0.4090153450415255
21780,0,4,0.0,-58501.49925201968,908,41,3945,0.4279207557688782
23760,1,4,0.25,-39357.747429366806,1002,44,3945,0.4390403569705101
25740,0,4,0.0,-42095.61963779025,1002,48,3945,0.4365875099258118
27720,0,4,0.0,-41012.42616343871,1002,52,3945,0.43373992861146476
29700,0,4,0.0,-64867.22226413735,1045,56,3945,0.4285057873573491
31680,0,4,0.0,-106193.35654040694,1165,60,3945,0.4595499613112516
33660,0,4,0.0,-44620.9710418086,1165,64,3945,0.45797261693649094
35640,2,5,0.4,-32449.03314885078,1247,67,3945,0.4370222224848082
37620,1,5,0.2,-38311.655846924754,1305,71,3945,0.4278721661002319
39600,1,5,0.2,-40434.50087337475,1453,75,3945,0.41736648817506067
41580,0,4,0.0,-47147.75363917346,1458,79,3945,0.4052885917307727
43560,2,5,0.4,-48156.32664297032,1486,82,3945,0.4156548556334146
45540,3,7,0.42857142857142855,-35678.60979335662,1923,86,3945,0.3963221370446832
47520,1,4,0.25,-64361.7057522533,2509,89,3945,0.39137681146656234
49500,1,5,0.2,-72047.2139528091,3589,93,3945,0.40812912321134787
51480,1,4,0.25,-43348.404264077544,3909,96,3945,0.4138403664650765
53460,1,5,0.2,-74588.42383576324,4442,100,3945,0.41940798847154526
55440,2,4,0.5,-80502.58709263452,4947,102,3945,0.41581878812871126
57420,3,6,0.5,-50441.15442172112,5220,105,3945,0.40933482394436643
59400,0,4,0.0,-46669.041293998715,5251,109,3945,0.40933510852823757
61380,1,5,0.2,-120100.7480403306,6646,112,3945,0.4379097813852701
63360,1,5,0.2,-55606.68351480714,7554,116,3945,0.4603734257179506
65340,1,5,0.2,-58033.1836582222,8033,120,3945,0.46956175525964544
67320,1,5,0.2,-40228.22699136147,8044,124,3945,0.4631568574402001
69300,0,4,0.0,-42993.420627826825,8047,128,3945,0.4598186119575992
71280,1,5,0.2,-52422.28260308597,8520,132,3945,0.45092002640556716
73260,0,4,0.0,-87178.46545033669,9265,136,3945,0.44856843405091884
75240,0,4,0.0,-50061.72887414927,9277,140,3945,0.44773741078236334
77220,0,3,0.0,-48299.40988288121,9288,143,3945,0.44625338565065165
79200,1,5,0.2,-50967.578118395526,9812,147,3945,0.4373245940490265
81180,0,4,0.0,-68666.56459981715,10531,151,3945,0.4420727897147217
83160,0,4,0.0,-81494.75082252687,11334,155,3945,0.44061638798919633
85140,0,4,0.0,-43896.2813244774,11366,159,3945,0.4367175847117043
87120,0,4,0.0,-43727.0708079841,11508,163,3945,0.43133557208181555
89100,1,5,0.2,-44086.11128948582,11531,167,3945,0.4352514226282005
91080,0,4,0.0,-68492.88875744585,11822,171,3945,0.4351770795120839
93060,2,5,0.4,-38561.22524483362,12445,174,3945,0.43099479671290697
95040,2,5,0.4,-53687.07338114921,13013,177,3945,0.44317630889272297
97020,0,4,0.0,-51143.702576557174,13216,181,3945,0.44174725457070896
99000,0,4,0.0,-51513.231788467616,13239,185,3945,0.43965709340415227
100980,1,4,0.25,-35009.48670249991,13240,188,3945,0.43522653887242146
102960,1,5,0.2,-44268.6415705923,13334,192,3945,0.42899718130184294
104940,1,5,0.2,-37182.15986806434,13359,196,3945,0.42776153434070097
106920,1,5,0.2,-41025.4265277111,13375,200,3945,0.42270864662535973
108900,3,7,0.42857142857142855,-91771.4514225605,14144,204,3945,0.41600312191286903
110880,8,11,0.7272727272727273,-92917.18939055735,16096,207,3945,0.39735170712012313
112860,2,6,0.3333333333333333,-64887.51448528655,16268,210,3945,0.39152695401991144
114840,1,5,0.2,-55406.2694824799,16685,214,3945,0.3873232952536715
116820,7,10,0.7,-20925.817140673287,17036,217,3945,0.3789625019524393
118800,10,12,0.8333333333333334,-18901.613392120693,17608,219,3945,0.37172272930814926
120780,4,7,0.5714285714285714,-40511.8242317182,17678,222,3945,0.3750009586263271
122760,3,6,0.5,-47681.0416278895,17791,225,3945,0.37990994348263063
124740,3,6,0.5,-44251.629202710465,17912,228,3945,0.37617949892093605
126720,0,4,0.0,-44370.251158218365,17916,232,3945,0.3754088477710903
128700,4,8,0.5,-20996.001532250084,17923,236,3945,0.37291100897665336
130680,3,6,0.5,-26995.28266297374,17940,239,3945,0.37065395939755025
132660,7,11,0.6363636363636364,-42487.90029544756,18765,242,3945,0.37150884941574125
134640,1,5,0.2,-77831.2763577681,19875,246,3945,0.37234301918048823
136620,3,6,0.5,-23087.817819714546,20022,249,3945,0.3709858570948442
138600,8,11,0.7272727272727273,-41414.991012434475,20905,252,3945,0.36695516258805255
140580,10,13,0.7692307692307693,-22736.909171770327,21892,254,3945,0.360628433709932
142560,16,20,0.8,18004.00953965634,21970,257,3945,0.3510956932315833
144540,11,14,0.7857142857142857,-2766.216066586785,22049,259,3945,0.34630852964909914
146520,5,9,0.5555555555555556,-26146.81415809784,22082,263,3945,0.341258225184358
148500,4,7,0.5714285714285714,-53050.88030929491,22132,266,3945,0.33997975505713485
150480,1,5,0.2,-78035.78249240853,22732,270,3945,0.33750236822402135
152460,6,9,0.6666666666666666,-111043.90155108739,23505,273,3945,0.3364731653344962
154440,2,6,0.3333333333333333,-77569.58619001135,23865,277,3945,0.3368334482112225
156420,15,18,0.8333333333333334,-6510.4712420599535,24015,280,3945,0.33381659215146126
158400,1,5,0.2,-47147.5953772543,24353,284,3945,0.3336335700199219
160380,3,7,0.42857142857142855,-97950.75571813434,25744,288,3945,0.33296470348238943
162360,32,33,0.9696969696969697,65656.58792909235,26089,289,3945,0.3286288574848675
164340,23,25,0.92,39136.9915676089,26183,291,3945,0.3240854407878506
166320,8,13,0.6153846153846154,-27303.024984413758,26360,294,3945,0.3228202734282883
168300,41,44,0.9318181818181818,122575.74501173105,26541,295,3945,0.31697882883353784
170280,27,29,0.9310344827586207,41699.03152931342,27021,296,3945,0.31588146008438706
172260,48,51,0.9411764705882353,107695.18120112782,27685,298,3945,0.31105483876746176
174240,56,63,0.8888888888888888,183197.10460524773,27908,298,3945,0.30833123511382926
176220,43,51,0.8431372549019608,106392.8437097217,28382,299,3945,0.30707105077420593
178200,56,63,0.8888888888888888,160266.93524054717,28833,299,3945,0.30361468185962054
180180,22,24,0.9166666666666666,-16307.25885397615,29492,299,3945,0.30192869184392007
182160,17,23,0.7391304347826086,-38812.12798839575,29866,301,3945,0.29908826794082255
184140,53,56,0.9464285714285714,154779.19041012973,30330,301,3945,0.29500522575298416
186120,51,55,0.9272727272727272,138211.46840490587,30693,301,3945,0.289297730902697
188100,56,60,0.9333333333333333,164987.53135887953,31074,302,3945,0.2856933811680759
190080,44,48,0.9166666666666666,90465.36045791022,31450,303,3945,0.28430353432102173
192060,49,56,0.875,124371.42656918988,31963,303,3945,0.2817312564962698
194040,32,37,0.8648648648648649,3660.2170820003375,32824,304,3945,0.28010113620199584
196020,43,46,0.9347826086956522,76488.43273610296,33449,305,3945,0.2766592772613817
198000,56,62,0.9032258064516129,141569.5836961195,33981,307,3945,0.2719346606702859
199980,25,27,0.9259259259259259,22503.625802563503,34302,308,3945,0.2704725981146709
201960,48,52,0.9230769230769231,124643.82263410278,34525,310,3945,0.2671336283126802
203940,43,45,0.9555555555555556,96828.17760299565,34785,312,3945,0.2644780491416515
205920,48,55,0.8727272727272727,108182.32805978134,34962,314,3945,0.2621658455640744
207900,60,63,0.9523809523809523,151958.77391798934,35624,315,3945,0.2590385947926513
209880,61,65,0.9384615384615385,147652.76184567623,36619,316,3945,0.25504726715801473
211860,41,45,0.9111111111111111,56985.53207097133,37460,318,3945,0.2521633528012045
213840,62,66,0.9393939393939394,202579.1929201733,37642,319,3945,0.2489024689041187
215820,58,61,0.9508196721311475,149007.43878560094,38253,321,3945,0.24667883424257325
217800,78,81,0.9629629629629629,269921.3900168056,38646,322,3945,0.24406225833500167
219780,116,123,0.943089430894309,442892.25940717675,39003,322,3945,0.23987714677289187
